Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;CCR R9H 3918875;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
10R-6694;3;;1130;Actuator AS;346-5752;Actuator GP-Valve;CCR DESARME
227-4892;1;;;Gasket;247-9665;Base GP-Oil Filter;CCR DESARME
113-5304;2;;;Seal-O-Ring;247-9665;Base GP-Oil Filter;CCR DESARME
4N-8150;2;;;Spring;530-2297;Base GP-Oil Filter;CCR DESARME
7C-3083;1;;;Seat-Relief Valve Spring;530-2297;Base GP-Oil Filter;CCR DESARME
7C-3954;1;;;Spring AS;530-2297;Base GP-Oil Filter;CCR DESARME
2P-4304;1;;;Stud-Hollow;530-2297;Base GP-Oil Filter;CCR DESARME
238-5084;1;;;Seal-O-Ring;530-2297;Base GP-Oil Filter;CCR DESARME
392-9208;2;;;Plunger-Valve;530-2297;Base GP-Oil Filter;CCR DESARME
214-7568;1;;;Seal-O-Ring;530-2297;Base GP-Oil Filter;CCR DESARME
8C-3446;1;;;Valve-Sampling;530-2297;Base GP-Oil Filter;CCR DESARME
214-7566;1;;;Seal-O-Ring;530-2297;Base GP-Oil Filter;CCR DESARME
368-3986;1;;;Spring;530-2297;Base GP-Oil Filter;CCR DESARME
8C-3445;1;;;Cap-Dust;530-2297;Base GP-Oil Filter;CCR DESARME
574-6249;1;;1317;Gasket;267-0007;Breather GP;CCR DESARME
9Y-4357;1;;1317;Breather AS;267-0007;Breather GP;CCR DESARME
8T-9655;8;;1901;Mount-Isolation;233-6191;Control & Mtg GP-Engine Elek;CCR TU&EL
9X-2098;4;;1901;Stud-Taperlock;233-6191;Control & Mtg GP-Engine Elek;CCR TU&EL
131-6645;1;;1378;Hose;231-0152;Cooler GP-Engine Oil;CCR DESARME
20R-1861;1;;1378;Core AS-Oclr;231-0152;Cooler GP-Engine Oil;CCR DESARME
213-9396;1;;1378;Seal-O-Ring;231-0152;Cooler GP-Engine Oil;CCR DESARME
6V-3250;1;;1378;Seal-O-Ring;231-0152;Cooler GP-Engine Oil;CCR DESARME
6V-3251;2;;1378;Seal-O-Ring;231-0152;Cooler GP-Engine Oil;CCR DESARME
224-2675;1;;1378;Seal;231-0152;Cooler GP-Engine Oil;CCR DESARME
6V-9027;1;;1378;Seal-O-Ring;231-0152;Cooler GP-Engine Oil;CCR DESARME
335-9214;2;;1378;Clamp-Band;231-0152;Cooler GP-Engine Oil;CCR DESARME
6V-7571;1;;1378;Plug-Cup;231-0152;Cooler GP-Engine Oil;CCR DESARME
2S-0795;2;;1375;Gasket;240-5403;Cooler GP-Transmission Oil;CCR DESARME
10R-8997;1;;1375;Core AS-Oclr;240-5403;Cooler GP-Transmission Oil;CCR DESARME
6V-5064;1;;1375;Seal-O-Ring;240-5403;Cooler GP-Transmission Oil;CCR DESARME
6V-3250;1;;1375;Seal-O-Ring;240-5403;Cooler GP-Transmission Oil;CCR DESARME
2N-5243;2;;1375;Seal-O-Ring;240-5403;Cooler GP-Transmission Oil;CCR DESARME
8E-7366;2;;1375;Gasket;240-5403;Cooler GP-Transmission Oil;CCR DESARME
117-3036;1;;1375;Seal-O-Ring;240-5403;Cooler GP-Transmission Oil;CCR DESARME
9Y-6089;1;;1157;Gasket;323-1682;Cover GP-Flywheel Housing;CCR DESARME
117-8801;1;;;Seal-O-Ring;227-2574;Cover GP-Front Housing;CCR DESARME
5S-9134;1;;1306;Seal-O-Ring;117-2786;Cover GP-Oil Filter Base;CCR DESARME
212-7728;10;;;Isolator AS;355-7194;Cover GP-Valve Mechanism;CCR DESARME
229-5711;1;;;Seal-Valve Cover;355-7194;Cover GP-Valve Mechanism;CCR DESARME
344-7562;1;;;Cover-Valve;355-7194;Cover GP-Valve Mechanism;CCR DESARME
197-9642;1;;1207;Pulley AS-Idler;260-1406;Drive GP-Accessory;CCR DESARME
211-7895;1;;1207;Belt Tensioner;260-1406;Drive GP-Accessory;CCR DESARME
272-0389;1;;1120;Seal;267-0010;Base GP-Valve Cover;CCR DESARME
132-5789;1;;1120;Clip;267-0010;Base GP-Valve Cover;CCR DESARME
131-3718;1;;1210;Seal-O-Ring;355-1288;Camshaft GP;CCR DESARME
9Y-0810;1;;;Sleeve-Wear;224-3881;Crankshaft GP;CCR BLOCK
9Y-0821;1;;;Sleeve;224-3881;Crankshaft GP;CCR BLOCK
246-3144;2;;;Plate-Thrust;224-3881;Crankshaft GP;CCR BLOCK
3B-0623;3;;1201;Plug-Cup;240-7271;Cylinder Block GP;CCR DESARME
214-7566;3;;1201;Seal-O-Ring;240-7271;Cylinder Block GP;CCR DESARME
437-1409;6;;1201;Seal-Liner;517-1983;Cylinder Block AS;CCR DESARME
4F-5695;5;;1201;Plug-Cup;517-1983;Cylinder Block AS;CCR DESARME
221-9392;1;;1100;Gasket;331-2478;Cylinder Head GP;CCR DESARME
7C-7852;1;;;Bearing;222-3088;Gear GP-Front;CCR DESARME
133-7084;1;;;Bushing;222-3088;Gear GP-Front;CCR DESARME
346-4897;1;;;Seal-O-Ring;233-5221;Pump GP-Engine Oil;CCR DESARME
3E-6788;1;;;Seal-O-Ring;233-5221;Pump GP-Engine Oil;CCR DESARME
5P-8068;2;;;Seal-O-Ring;233-5221;Pump GP-Engine Oil;CCR DESARME
6V-3834;1;;;Seal-O-Ring;233-5221;Pump GP-Engine Oil;CCR DESARME
6V-5134;3;;;Seal-O-Ring;233-5221;Pump GP-Engine Oil;CCR DESARME
8J-4351;1;;;Seal-O-Ring;233-5221;Pump GP-Engine Oil;CCR DESARME
6D-7146;1;;;Seal-O-Ring;233-5220;Pump GP-Engine Oil;CCR DESARME
10R-3262;6;;;Injector GP-Fuel;253-1461;Pump GP-Fuel Injection;CCR DESARME
6V-7350;1;;1361;Seal-O-Ring;228-5812;Pump GP-Water;CCR DESARME
214-7568;1;;;Seal-O-Ring;357-0523;Sensor GP-Engine;CCR TU&EL
256-6453;1;;;Sensor-Temperature;234-5012;Sensor GP-Temperature;CCR TU&EL
6V-6609;1;;;Seal-O-Ring;234-5012;Sensor GP-Temperature;CCR TU&EL
256-6453;2;;;Sensor-Temperature;234-5013;Sensor GP-Temperature;CCR TU&EL
238-5080;2;;;Seal-O-Ring;234-5013;Sensor GP-Temperature;CCR TU&EL
274-6718;1;;;Sensor GP-Pressure;249-0096;Sensor GP-Pressure;CCR TU&EL
214-7566;2;;;Seal-O-Ring;249-0096;Sensor GP-Pressure;CCR TU&EL
274-6717;1;;;Sensor-Pressure;276-8548;Sensor GP-Pressure;CCR TU&EL
214-7568;1;;;Seal-O-Ring;276-8548;Sensor GP-Pressure;CCR TU&EL
274-6719;1;;;Sensor GP-Pressure;276-9067;Sensor GP-Pressure;CCR TU&EL
214-7566;1;;;Seal-O-Ring;276-9067;Sensor GP-Pressure;CCR TU&EL
1P-0810;2;;;Tape-Electrical;384-1836;Sensor GP-Speed;CCR TU&EL
228-4947;1;;;Seal-O-Ring;300-9805;Sensor GP-Speed;CCR TU&EL
279-9828;1;;;Sensor GP-Speed;300-9805;Sensor GP-Speed;CCR TU&EL
228-4947;1;;;Seal-O-Ring;300-9806;Sensor GP-Speed;CCR TU&EL
279-9829;1;;;Sensor GP-Speed;300-9806;Sensor GP-Speed;CCR TU&EL
214-7566;1;;;Seal-O-Ring;357-0523;Sensor GP-Engine;CCR TU&EL
3S-2093;2;;;Strap-Cable;357-0523;Sensor GP-Engine;CCR TU&EL
3S-2093;13;;1408;Strap-Cable;267-3088;Wiring GP-Unit Injector;CCR TU&EL
7E-6508;6;;1408;Cap AS;267-3088;Wiring GP-Unit Injector;CCR TU&EL
156-6175;1;;1408;Clip;267-3088;Wiring GP-Unit Injector;CCR TU&EL
267-3089;1;;1408;Harness AS-Wiring;267-3088;Wiring GP-Unit Injector;CCR TU&EL
117-1802;4;;1408;Dowel-Hollow;267-3088;Wiring GP-Unit Injector;CCR TU&EL
2V-3216;4;;1408;Clip;267-3088;Wiring GP-Unit Injector;CCR TU&EL
241-5645;1;;;Cap AS-Engine Oil Filler;231-0151;Filler GP-Engine Oil;CCR DESARME
061-9455;4;;;Seal-O-Ring;231-0151;Filler GP-Engine Oil;CCR DESARME
1R-1808;1;;;Filter-Engine Oil;231-3492;Filter GP-Engine Oil;CCR DESARME
3S-2093;4;;1261;Strap-Cable;356-8382;Filter GP-Fuel;CCR DESARME
6V-3965;1;;1280;Fitting;123-0783;Valve GP-Fluid Sampling;CCR DESARME
214-7568;1;;1280;Seal-O-Ring;123-0783;Valve GP-Fluid Sampling;CCR DESARME
6V-0852;1;;1280;Cap-Dust;123-0783;Valve GP-Fluid Sampling;CCR DESARME
281-2725;1;;;Valve GP-Check;233-6742;Valve GP-Check;CCR DESARME
238-5081;1;;;Seal-O-Ring;233-6742;Valve GP-Check;CCR DESARME
6V-6923;1;;;Ring-Backup;281-2725;Valve GP-Check;CCR DESARME
033-6033;1;;;Seal-O-Ring;281-2725;Valve GP-Check;CCR TU&EL
214-7566;2;;1261;Seal-O-Ring;356-8382;Filter GP-Fuel;CCR TU&EL
238-5080;8;;1261;Seal-O-Ring;356-8382;Filter GP-Fuel;CCR TU&EL
275-1253;1;;1261;Switch GP-Pressure;356-8382;Filter GP-Fuel;CCR TU&EL
274-6719;1;;1261;Sensor GP-Pressure;356-8382;Filter GP-Fuel;CCR TU&EL
357-0673;1;;1261;Harness AS-Sensor;356-8382;Filter GP-Fuel;CCR TU&EL
214-7568;2;;1261;Seal-O-Ring;356-8382;Filter GP-Fuel;CCR TU&EL
1R-0762;1;;1261;Filter-Fuel;356-8382;Filter GP-Fuel;CCR TU&EL
228-7088;2;;1261;Seal-O-Ring;356-8382;Filter GP-Fuel;CCR TU&EL
4P-7581;1;;1261;Clip;356-8382;Filter GP-Fuel;CCR TU&EL
9M-2904;1;;1317;Clamp-Hose;258-4484;Fumes Disposal GP;CCR DESARME
224-5539;1;;1317;Hose-Fumes Disposal;258-4484;Fumes Disposal GP;CCR DESARME
209-7309;4;;1326;Plug;262-0596;Gauge GP-Oil Level (Dipstick);CCR DESARME
