Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;7KK, 10R8903;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
4N-8628;1;;1063;Gasket;128-2313;Aftercooler GP-Water;CCR DESARME
4N-2564;1;;1063;Gasket;128-2313;Aftercooler GP-Water;CCR DESARME
109-0073;4;;1063;Seal-O-Ring;128-2313;Aftercooler GP-Water;CCR DESARME
109-0079;2;;1063;Seal-O-Ring;128-2313;Aftercooler GP-Water;CCR DESARME
101-4910;1;;1405;Belt-Serpentine;125-4392;Alternator GP-Charging;CCR DESARME
2S-6151;1;;1357;Gasket;7E-9666;Belt Tensioner GP;CCR BBA
3B-4617;2;;1357;Pin-Cotter;7E-9666;Belt Tensioner GP;CCR BBA
5M-9735;1;;1357;Seal-Lip Type;7E-9666;Belt Tensioner GP;CCR BBA
6B-1124;2;;1357;Ball Bearing;7E-9666;Belt Tensioner GP;CCR BBA
6S-6308;2;;1357;Pin;7E-9666;Belt Tensioner GP;CCR BBA
8B-2327;1;;1357;Ring-Retaining;7E-9666;Belt Tensioner GP;CCR BBA
8N-5579;1;;1357;Retainer;7E-9666;Belt Tensioner GP;CCR BBA
161-7128;1;;1357;Spring AS;7E-9666;Belt Tensioner GP;CCR BBA
7I-1334;1;;1357;Hose;7E-9666;Belt Tensioner GP;CCR BBA
4S-5367;1;;1357;Bushing AS;7E-9666;Belt Tensioner GP;CCR BBA
3E-1906;1;;1802;Compressor GP-Refrigerant;126-7653;Compressor GP-Refrigerant;CCR EL&TU
9L-1130;1;;1802;V-Belt;126-7653;Compressor GP-Refrigerant;CCR DESARME
8T-9655;8;;1901;Mount-Isolation;126-1455;Control & Mtg GP-Engine Elek;CCR EL&TU
115-6469;4;;1901;Spacer-Special;126-1455;Control & Mtg GP-Engine Elek;CCR EL&TU
109-0077;2;;1378;Seal-O-Ring;4N-2388;Cooler GP-Engine Oil;CCR DESARME
7C-0145;1;;1378;Core AS-Oil Cooler;4N-2388;Cooler GP-Engine Oil;CCR DESARME
234-8937;1;;1201;Seal-Integral;2W-9319;Cover GP-Cylinder Block;CCR DESARME
4N-1684;1;;1201;Gasket;2W-9319;Cover GP-Cylinder Block;CCR DESARME
4N-0864;1;;1201;Gasket;2W-9319;Cover GP-Cylinder Block;CCR DESARME
4N-0864;1;;1201;Gasket;130-0992;Cover GP-Cylinder Block;CCR DESARME
239-5571;1;;1201;Seal-Integral;130-0992;Cover GP-Cylinder Block;CCR DESARME
234-8937;1;;1201;Seal-Integral;130-0992;Cover GP-Cylinder Block;CCR DESARME
9Y-6089;1;;1157;Gasket;4N-6876;Cover GP-Flywheel Housing;CCR DESARME
6N-2508;1;;1151;Gasket;129-8349;Cover GP-Front Housing;CCR DESARME
2M-2488;1;;1151;Stud-Taperlock;129-8349;Cover GP-Front Housing;CCR DESARME
9X-7371;1;;1151;Seal-O-Ring;129-8349;Cover GP-Front Housing;CCR DESARME
3K-3256;1;;1151;Stud-Taperlock;129-8349;Cover GP-Front Housing;CCR DESARME
