Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;20R4691 24M B93;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
122-3772;1;;1361;SEAL-O-RING;174-5986;;CCR BBA
253-1752;2;;1204;PLATE-THRUST;189-4917;;CCR BLK
165-6170;3;;1326;PLUG;221-1764;;CCR BLK
307-2673;6;;1201;PLUG AS;230-5379;;CCR BLK
309-5131;1;;1201;PLUG AS;230-5379;;CCR BLK
142-5867;1;;1160;SEAL-CRANKSHAFT (FRONT);319-7401;;CCR BLK
142-5868;1;;1160;SEAL-CRANKSHAFT (REAR);319-0785;;CCR BLK
6V-6609;3;;1201;SEAL-O-RING;230-5379;;CCR BLK
214-7566;1;;1201;SEAL-O-RING;230-5379;;CCR BLK
214-7568;3;;1100;SEAL-O-RING;432-5472;;CCR CLT
281-8261;6;;1100;SLEEVE AS-EXHAUST;432-5472;;CCR CLT
329-8797;1;;1405;BELT TENSIONER;380-2392;;CCR DESAR
0S-1591;2;;1052;BOLT (3/8-16X1.5-IN);262-9967;;CCR DESAR
0S-1591;2;;1302;BOLT (3/8-16X1.5-IN);307-7409;;CCR DESAR
9L-8925;14;;1408;BOLT (5/16-18X1.25-IN);234-5005;;CCR DESAR
122-1472;1;;1408;BOLT (5/16-18X2.36-IN);234-5005;;CCR DESAR
107-0583;3;;1162;BOLT-LOCKING (1/4-20X0.87-IN);207-0449;;CCR DESAR
2J-3118;5;;1162;BOLT-LOCKING (3/8-16X1.25-IN);207-0449;;CCR DESAR
5P-4142;2;;1162;BOLT-LOCKING (3/8-16X1.5-IN);207-0449;;CCR DESAR
5P-4255;8;;1162;BOLT-LOCKING (3/8-16X1-IN);243-5786;;CCR DESAR
126-1756;10;;1162;BOLT-LOCKING (5/16-18X0.875-IN);207-0449;;CCR DESAR
130-4698;1;;1162;BUSHING;207-0449;;CCR DESAR
101-8468;1;;1162;BUSHING;207-0449;;CCR DESAR
131-7123;1;;1162;BUSHING;207-0449;;CCR DESAR
209-8622;2;;1157;BUSHING;380-6962;;CCR DESAR
209-8624;1;;1204;BUSHING;395-0511;;CCR DESAR
7E-6508;6;;1408;CAP AS;234-5005;;CCR DESAR
157-0670;1;;1350;CAP-DUST;274-9994;;CCR DESAR
6V-0852;1;;1280;CAP-DUST (FUEL);123-0783;;CCR DESAR
9L-8439;1;;7513;CAP-OIL FILLER (ENGINE);263-7310;;CCR DESAR
284-3502;2;;1052;CLAMP-BAND;262-9967;;CCR DESAR
9M-0164;1;;1317;CLAMP-HOSE;159-9362;;CCR DESAR
8T-4983;2;;1350;CLAMP-HOSE;274-9994;;CCR DESAR
161-6622;1;;1317;CLIP;159-9362;;CCR DESAR
7C-4355;1;;7513;CLIP;263-7310;;CCR DESAR
4P-7581;1;;1261;CLIP (LADDER);356-8379;;CCR DESAR
5P-2369;1;;1317;CLIP (LOOP);159-9362;;CCR DESAR
9M-8406;2;;1274;CLIP (LOOP);275-7666;;CCR DESAR
10R-4556;1;;1350;CORE AS-OCLR;274-9994;;CCR DESAR
164-5567;1;;1280;COUPLER AS-QUICK DISCONNECT (MALE);123-0783;;CCR DESAR
324-6804;1;;7261;COVER AS (SOUND SUPPRESSION);227-9980;;CCR DESAR
4N-0684;1;;1204;DOWEL;395-0511;;CCR DESAR
243-1159;12;;1120;FASTENER AS;150-3135;;CCR DESAR
243-1159;6;;1120;FASTENER AS;341-6804;;CCR DESAR
1R-1808;1;;1306;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);292-4057;;CCR DESAR
1R-0762;1;;1261;FILTER-FUEL (ADVANCED EFFICIENCY);356-8379;;CCR DESAR
4N-0699;1;;1201;GASKET;107-6736;;CCR DESAR
4M-6480;1;;1157;GASKET;216-5540;;CCR DESAR
2P-3760;1;;1307;GASKET;219-4443;;CCR DESAR
9Y-6089;1;;1157;GASKET;220-6390;;CCR DESAR
117-0219;1;;1151;GASKET;235-8781;;CCR DESAR
166-9144;1;;1162;GASKET;243-5786;;CCR DESAR
2S-0795;2;;1350;GASKET;274-9994;;CCR DESAR
2P-3760;1;;1306;GASKET;292-4057;;CCR DESAR
2P-4305;2;;1306;GASKET;292-4057;;CCR DESAR
227-1204;1;;1201;GASKET;358-6883;;CCR DESAR
155-5619;1;;1157;GASKET;380-6962;;CCR DESAR
2A-1162;1;;1157;GASKET;380-6962;;CCR DESAR
224-5122;1;;1100;GASKET (CYLINDER HEAD);432-5472;;CCR DESAR
353-5065;2;;1302;GASKET-OIL PAN (ENGINE);307-7409;;CCR DESAR
139-3550;1;;1350;GASKET-REGULATOR (HOUSING)(WATER TEMPERATURE;274-9994;;CCR DESAR
4N-1156;1;;1350;GASKET-REGULATOR COVER (WATER TEMPERATURE);274-9994;;CCR DESAR
5P-8939;1;;1274;GROMMET;275-7666;;CCR DESAR
7V-6571;3;;1274;GROMMET;275-7666;;CCR DESAR
422-1761;1;;1408;HARNESS AS-ENGINE (UNIT INJECTOR);234-5005;;CCR DESAR
356-8374;1;;1261;HARNESS AS-SENSOR;356-8379;;CCR DESAR
246-6036;1;;1052;HOSE;262-9967;;CCR DESAR
9Y-4104;1;;1350;HOSE;274-9994;;CCR DESAR
395-1875;1;;1052;Hose & Tube AS;;;CCR DESAR
194-0431;1;;1274;HOSE AS;275-7666;;CCR DESAR
203-2075;1;;1274;HOSE AS;275-7666;;CCR DESAR
316-9819;1;;1274;HOSE AS;275-7666;;CCR DESAR
318-0825;1;;1274;HOSE AS;275-7666;;CCR DESAR
207-8128;1;;1317;HOSE AS (FUMES DISPOSAL);159-9362;;CCR DESAR
333-1207;1;;1405;IDLER AS;380-2392;;CCR DESAR
1B-8705;2;;1162;KEY-WOODRUFF;207-0449;;CCR DESAR
2K-4973;2;;1302;LOCKNUT (3/8-16-THD);307-7409;;CCR DESAR
2N-2766;12;;1059;LOCKNUT (3/8-16-THD);380-8512;;CCR DESAR
031-4155;2;;1151;LOCKNUT (5/16-18-THD)(MARKED X);159-6159;;CCR DESAR
