Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;BDT 2083619;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
4N-2564;1;;1063;GASKET;122-9520;AFTERCOOLER GP-WATER;CCR DESAR
4N-8628;1;;1063;GASKET;122-9520;AFTERCOOLER GP-WATER;CCR DESAR
109-0076;4;;1063;SEAL-O-RING;122-9520;AFTERCOOLER GP-WATER;CCR DESAR
112-8186;2;;1063;SEAL-O-RING;122-9520;AFTERCOOLER GP-WATER;CCR DESAR
9M-1974;8;;1063;WASHER-HARD (8.8X16X2-MM THK);122-9520;AFTERCOOLER GP-WATER;CCR DESAR
0L-1143;2;;1063;BOLT (3/8-16X2.5-IN);122-9520;AFTERCOOLER GP-WATER;CCR DESAR
115-6469;4;;1901;SPACER-SPECIAL (8.2X25X89.7-MM THK);109-0400;CONTROL & MTG GP-ENGINE ELEK;CCR TU&ELC
9M-1974;1;;1901;WASHER-HARD (8.8X16X2-MM THK);109-0400;CONTROL & MTG GP-ENGINE ELEK;CCR TU&ELC
9N-0869;4;;1901;WASHER-HARD (8.8X25.5X2-MM THK);109-0400;CONTROL & MTG GP-ENGINE ELEK;CCR TU&ELC
8T-9655;8;;1901;MOUNT-ISOLATION;109-0400;CONTROL & MTG GP-ENGINE ELEK;CCR TU&ELC
109-0077;2;;1378;SEAL-O-RING;4N-2388;COOLER GP-ENGINE OIL;CCR DESAR
239-5571;1;;1201;SEAL-INTEGRAL;4N-6866;COVER GP-CYLINDER BLOCK;CCR DESAR
5M-2894;12;;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);4N-6866;COVER GP-CYLINDER BLOCK;CCR DESAR
234-8937;1;;1201;SEAL-INTEGRAL;4N-6866;COVER GP-CYLINDER BLOCK;CCR DESAR
239-5572;1;;1201;SEAL-INTEGRAL;4N-6866;COVER GP-CYLINDER BLOCK;CCR DESAR
4N-0864;1;;1201;GASKET;4N-6866;COVER GP-CYLINDER BLOCK;CCR DESAR
125-9794;1;;1157;SEAL-O-RING;4N-1902;COVER GP-FLYWHEEL HOUSING;CCR DESAR
2M-0849;1;;1157;WASHER-HARD (13.5X25.5X5-MM THK);4N-1902;COVER GP-FLYWHEEL HOUSING;CCR DESAR
270-1820;1;;1157;SEAL-O-RING;4N-1902;COVER GP-FLYWHEEL HOUSING;CCR DESAR
1A-1593;2;;1157;STUD (1/2-13X1.875-IN);4N-1902;COVER GP-FLYWHEEL HOUSING;CCR DESAR
3S-8313;1;;1157;PLUG-CUP;4N-1902;COVER GP-FLYWHEEL HOUSING;CCR DESAR
234-8937;1;;1157;SEAL-INTEGRAL;4N-1902;COVER GP-FLYWHEEL HOUSING;CCR DESAR
9Y-6089;1;;1157;GASKET;4N-1902;COVER GP-FLYWHEEL HOUSING;CCR DESAR
193-9155;1;;1151;GASKET;126-0768;COVER GP-FRONT HOUSING;CCR DESAR
3K-3256;1;;1151;STUD-TAPERLOCK (3/8-16X1.7-IN);126-0768;COVER GP-FRONT HOUSING;CCR DESAR
2P-1974;3;;1151;STUD-TAPERLOCK (3/8-16X4.2-IN);126-0768;COVER GP-FRONT HOUSING;CCR DESAR
3M-0496;1;;1151;STUD-TAPERLOCK (3/8-16X2.6-IN);126-0768;COVER GP-FRONT HOUSING;CCR DESAR
6N-2508;1;;1151;GASKET;126-0768;COVER GP-FRONT HOUSING;CCR DESAR
125-9794;1;;1151;SEAL-O-RING;126-0768;COVER GP-FRONT HOUSING;CCR DESAR
9X-6451;1;;1302;PLUG-DRAIN (MAGNETIC)(ENGINE OIL PAN);6N-1400;COVER GP-OIL PAN;CCR DESAR
239-5572;2;;1302;SEAL-INTEGRAL;6N-1400;COVER GP-OIL PAN;CCR DESAR
5M-2894;6;;1302;WASHER-HARD (10.2X18.5X2.5-MM THK);6N-1400;COVER GP-OIL PAN;CCR DESAR
109-0072;2;;1302;SEAL-O-RING;6N-1400;COVER GP-OIL PAN;CCR DESAR
061-9458;1;;1302;SEAL-O-RING;6N-1400;COVER GP-OIL PAN;CCR DESAR
8L-2786;1;;1302;SEAL-O-RING;6N-1400;COVER GP-OIL PAN;CCR DESAR
272-2583;1;;1107;SEAL-O-RING;128-5723;COVER GP-VALVE MECHANISM;CCR DESAR
230-0940;12;;1107;SEAL-VALVE COVER;128-5723;COVER GP-VALVE MECHANISM;CCR DESAR
4N-4668;3;;1107;BREATHER AS (CRANKCASE);128-5723;COVER GP-VALVE MECHANISM;CCR DESAR
6V-3831;3;;1107;SEAL-O-RING;128-5723;COVER GP-VALVE MECHANISM;CCR DESAR
2N-8109;3;;1107;CLAMP;128-5723;COVER GP-VALVE MECHANISM;CCR DESAR
167-8130;1;;1205;DAMPER AS;8N-5572;DAMPER & PULLEY GP;CCR DESAR
2D-8155;12;;1205;STUD-TAPERLOCK (1/2-13X3.58-IN);8N-5572;DAMPER & PULLEY GP;CCR DESAR
2N-8109;1;;1316;CLAMP;127-9373;FILLER GP-ENGINE OIL;CCR DESAR
