Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;r120ceJGB;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
134-5245;6;1306;BOLT (M10X1.5X30-MM);223-1615;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
227-4892;1;1306;GASKET;223-1615;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
113-5304;2;1306;SEAL-O-RING;223-1615;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
4N-8150;2;1306;SPRING;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
7C-3083;1;1306;SEAT-RELIEF VALVE SPRING;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
7C-3954;1;1306;SPRING AS;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
2N-6005;1;1306;SPRING;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
392-9208;2;1306;PLUNGER-VALVE (RELIEF);251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
2P-4304;1;1306;STUD-HOLLOW;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
3B-0623;1;1306;PLUG-CUP (25.73-MM OD);251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
3P-1896;2;1306;PLUG-CUP (35.31-MM OD);251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
1A-2170;1;1306;SPRING-RETAINER;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
5P-7701;3;1306;SEAL-O-RING;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
6V-5048;1;1306;SEAL-O-RING;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
6V-5049;1;1306;SEAL-O-RING;251-6669;BASE GP-OIL FILTER -ENGINE;CCR DESAR;;;
221-3775;1;1397;BELT-SERPENTINE;230-7215;BELT GP-SERPENTINE;CCR DESAR;;;
197-9642;1;1357;PULLEY AS-IDLER (8-GROOVE);230-7216;BELT TENSIONER GP;CCR DESAR;;;
211-7895;1;1357;BELT TENSIONER;230-7216;BELT TENSIONER GP;CCR DESAR;;;
227-8313;1;1357;PULLEY AS-IDLER (8-GROOVE);230-7216;BELT TENSIONER GP;CCR DESAR;;;
574-6249;1;1317;GASKET (BREATHER);267-0007;BREATHER GP -CRANKCASE;CCR DESAR;;;
9Y-4357;1;1317;BREATHER AS (CRANKCASE);267-0007;BREATHER GP -CRANKCASE;CCR DESAR;;;
8T-9655;8;1901;MOUNT-ISOLATION;249-5278;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL;;;
9X-2098;4;1901;STUD-TAPERLOCK (M8X1.25X45-MM);249-5278;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL;;;
8T-4224;1;1901;WASHER-HARD (8.8X16X2-MM THK);249-5278;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL;;;
4P-7581;1;1901;CLIP (LADDER);249-5278;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL;;;
131-6645;1;1378;HOSE;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
224-2675;1;1378;SEAL;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
213-9396;2;1378;SEAL-O-RING;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
2N-5243;2;1378;SEAL-O-RING;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
335-9214;2;1378;CLAMP-BAND;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
6V-9027;1;1378;SEAL-O-RING;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
6V-3251;1;1378;SEAL-O-RING;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
6V-5064;1;1378;SEAL-O-RING;253-7404;COOLER GP-ENGINE OIL;CCR DESAR;;;
117-8801;1;1150;SEAL-O-RING;227-2574;COVER GP-FRONT HOUSING;CCR DESAR;;;
107-5769;1;1150;SEAL-O-RING;113-8987;COVER GP-FRONT HOUSING;CCR DESAR;;;
061-9455;4;1316;SEAL-O-RING;376-3204;COVER GP-OIL FILLER;CCR DESAR;;;
5S-9134;1;1306;SEAL-O-RING;117-2786;COVER GP-OIL FILTER BASE -ENGINE;CCR DESAR;;;
229-5711;1;1107;SEAL-VALVE COVER;348-2707;COVER GP-VALVE MECHANISM;CCR DESAR;;;
348-2709;1;1107;COVER-VALVE;348-2707;COVER GP-VALVE MECHANISM;CCR DESAR;;;
