Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;MLM 3792430;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
235-2484;1;;1358;SEAL-LIP TYPE;289-2489;;CCR DISTRI
292-0678;1;;1358;BELT-SERPENTINE;289-2489;;CCR DISTRI
272-0760;3;;1317;SEAL-VALVE COVER (BREATHER);124-5512;;CCR ME&BA
4W-3027;3;;1317;BREATHER AS (CRANKCASE);124-5512;;CCR ME&BA
217-6692;1;;1317;HOSE-TEE;124-5512;;CCR ME&BA
033-6031;3;;1317;SEAL-O-RING;124-5512;;CCR ME&BA
4W-3034;3;;1317;CLAMP-HOSE;124-5512;;CCR ME&BA
5P-0597;3;;1317;CLAMP-HOSE;124-5512;;CCR ME&BA
5P-4868;2;;1317;CLAMP-HOSE;124-5512;;CCR ME&BA
141-7143;1;;1317;HOSE-ELBOW;124-5512;;CCR ME&BA
8N-9885;1;;1802;GASKET-COVER;299-4670;;CCR DISTRI
186-4195;1;;1802;BELT-SERPENTINE;299-4670;;CCR DISTRI
7N-4782;24;;1123;SPRING-LIFTER GUIDE;224-9869;;CCR ENS.CLTA
9X-0352;12;;1123;RECEPTACLE AS-CONNECTOR (2-PIN);224-9869;;CCR ME&BA
132-6469;12;;1123;HARNESS AS-WIRING (VALVE MECHANISM);224-9869;;CCR ENS.CLTA
240-7032;12;;1123;SEAL;224-9869;;CCR ENS.CLTA
5P-7530;24;;1123;SEAL-O-RING;224-9869;;CCR ENS.CLTA
6J-2245;12;;1123;SEAL-O-RING;224-9869;;CCR ME&BA
7E-6016;4;;1380;GASKET;284-8013;;CCR EN&CA
8N-9885;1;;1901;GASKET-COVER;220-2677;;CCR DISTRI
121-5736;4;;1052;GASKET (TURBOCHARGER);284-5380;;CCR TU&EL
214-6050;4;;1052;CLAMP;284-5380;;CCR ENS.CLTA
236-1637;4;;1052;SEAL;284-5380;;CCR ENS.CLTA
236-1655;4;;1052;GASKET-EXHAUST MANIFOLD;284-5380;;CCR ENS.CLTA
236-4309;4;;1052;BELLOWS AS;284-5380;;CCR ENS.CLTA
306-1720;4;;1052;CLAMP-BAND;284-5380;;CCR ENS.CLTA
2N-2765;16;;1052;BOLT-HIGH TEMPERATURE (3/8-16X1.75-IN);284-5380;;CCR TU&EL
2N-2766;16;;1052;LOCKNUT (3/8-16-THD);284-5380;;CCR TU&EL
155-0576;8;;1901;MOUNT-ISOLATION;220-2677;;CCR TU&EL
9X-7438;1;;1154;MOUNT AS;7N-1863;;CCR DISTRI
105-8901;2;;1378;GASKET;273-7587;;CCR EN&CA
237-7623;2;;1378;SEAL-O-RING;273-7587;;CCR EN&CA
255-6264;1;;1087;GASKET;381-8564;;CCR EN&CA
113-8433;1;;1160;SEAL (COUNTERCLOCKWISE ROTATION);7W-3813;;CCR BLK
113-8432;1;;1160;SEAL (CLOCKWISE ROTATION);7W-3813;;CCR BLK
5H-6734;1;;1361;SEAL-O-RING;2W-9729;;CCR BBA
3P-0657;2;;1312;SEAL-O-RING;8N-7805;;CCR DESAR
6V-1582;2;;1312;CLIP (TAB);8N-7805;;CCR DESAR
6V-1581;2;;1312;CLIP (SLOT);8N-7805;;CCR DESAR
230-1072;2;;1201;GASKET;382-4856;;CCR BLK
1H-9696;1;;1256;SEAL-O-RING;8N-6151;;CCR BBA
3P-0657;1;;1262;SEAL-O-RING;118-4490;;CCR EN&CA
2W-0752;1;;1201;GASKET;330-7470;;CCR DESAR
7N-4945;3;;1201;GASKET;330-7470;;CCR BLK
272-0758;12;;1201;SEAL;330-7470;;CCR BLK
272-0759;12;;1201;SEAL;330-7470;;CCR BLK
7N-3368;1;;1201;GASKET;382-4510;;CCR BLK
20R-0864;12;;1290;INJECTOR GP-FUEL;376-0513;;CCR EN.CLT
9M-4355;3;;1304;DAMPER-BOLT;244-8985;;CCR BBA
298-6387;1;;1304;SEAL-O-RING;244-8985;;CCR BBA
5P-8210;2;;1201;SEAL-O-RING;383-4251;;CCR BLK
2M-9780;1;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
3P-0654;2;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
4F-3765;2;;1302;GASKET-SHAFT;8N-6164;;CCR EN&CA
5P-4892;1;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
5P-5700;4;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
5P-8068;1;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
6F-4868;1;;1302;GASKET;8N-6164;;CCR EN&CA
6I-0724;1;;1302;ADAPTER-PLUG;8N-6164;;CCR EN&CA
6V-4314;2;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
6V-4315;2;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
6V-5101;1;;1302;SEAL-O-RING;8N-6164;;CCR EN&CA
7E-2630;1;;1302;GASKET-OIL PAN;8N-6164;;CCR EN&CA
8T-6761;4;;1302;PLUG-PIPE (1-11-1/2 NPT THD);8N-6164;;CCR EN&CA
142-4159;1;;1302;SEAL-INTEGRAL;8N-6164;;CCR EN&CA
4B-8407;6;;1157;GASKET-COPPER;147-3196;;CCR DISTRI
4H-7869;1;;1157;GASKET;147-3196;;CCR DISTRI
7N-4320;2;;1157;GASKET;147-3196;;CCR DISTRI
234-8937;2;;1157;SEAL-INTEGRAL (FLYWHEEL HOUSING);147-3196;;CCR DISTRI
252-8374;2;;1157;GASKET;147-3196;;CCR DISTRI
320-8974;12;;1059;GASKET-EXHAUST MANIFOLD;282-8422;;CCR EN.CLT
127-8269;8;;1059;SEAL-EXHAUST;282-8422;;CCR EN.CLT
9L-2295;1;;1059;BOLT-HIGH TEMPERATURE (3/8-16X1.5-IN);282-8422;;CCR EN.CLT
3J-5389;4;;1059;PLUG (EXTERNAL);282-8422;;CCR EN.CLT
6V-1943;6;;1059;BOLT-HIGH TEMPERATURE (3/8-16X1.125-IN);282-8422;;CCR EN.CLT
6V-6753;2;;1059;BOLT-HIGH TEMPERATURE (3/8-16X1.375-IN);282-8422;;CCR EN.CLT
2N-2765;4;;1059;BOLT-HIGH TEMPERATURE (3/8-16X1.75-IN);282-8422;;CCR EN.CLT
2N-2766;45;;1059;LOCKNUT (3/8-16-THD);282-8422;;CCR EN.CLT
108-5579;2;;1059;SLEEVE-ELBOW SUPPORT;282-8422;;CCR EN.CLT
203-2143;16;;1059;SLEEVE (EXHAUST MANIFOLD);282-8422;;CCR EN.CLT
203-2163;44;;1059;SPACER (10.5X22.5X21.35-MM THK);282-8422;;CCR EN.CLT
272-0760;9;;1107;SEAL-VALVE COVER (BASE);101-0831;;CCR ME&BA
101-1198;14;;1201;BEARING-CAMSHAFT;240-6651;;CCR BLK
7X-4805;3;;1201;SEAL-O-RING;240-6651;;CCR BLK
5P-0840;24;;1201;SEAL-O-RING;240-6651;;CCR BLK
144-5692;12;;1201;GASKET-PLATE;240-6651;;CCR DESAR
5F-9657;4;;1201;SEAL-O-RING;240-6651;;CCR BLK
5P-8210;1;;1201;SEAL-O-RING;240-6651;;CCR BLK
6V-3348;8;;1201;SEAL-O-RING;240-6651;;CCR BLK
214-7568;6;;1201;SEAL-O-RING;240-6651;;CCR BLK
8T-2929;3;;1201;SEAL-O-RING;525-1801;;CCR BLK
8T-2928;3;;1201;SEAL-O-RING;525-1801;;CCR BLK
420-0652;48;;1100;SEAL AS-WATER;299-3521;;CCR ENS.CLTA
420-0653;48;;1100;SEAL AS-WATER;299-3521;;CCR ENS.CLTA
6K-4947;4;;1393;CLIP (TAB);283-4197;;CCR DESAR
6K-4948;4;;1393;CLIP (SLOT);283-4197;;CCR DESAR
6K-8420;2;;1393;LOCKNUT (1-1/16-12-THD);283-4197;;CCR DESAR
7F-2060;2;;1393;LOCKNUT (7/8-14-THD);283-4197;;CCR DESAR
241-3283;16;;1393;GASKET;283-4197;;CCR TU&EL
261-6797;2;;1393;STRAP;283-4197;;CCR DESAR
250-1497;1;;1393;ELBOW;283-4197;;CCR DESAR
6V-4589;3;;1393;SEAL-O-RING;283-4197;;CCR DESAR
6V-1943;2;;1393;BOLT-HIGH TEMPERATURE (3/8-16X1.125-IN);283-4197;;CCR DESAR
8L-2786;4;;1393;SEAL-O-RING;283-4197;;CCR TU&EL
9S-8752;4;;1393;NUT-FULL (3/8-16-THD);283-4197;;CCR DESAR
7N-4932;1;;1393;GASKET;273-7583;;CCR DESAR
7N-4945;1;;1393;GASKET;273-7583;;CCR DESAR
230-1072;2;;1393;GASKET;273-7583;;CCR DESAR
264-8272;2;;1393;CLAMP AS;273-7583;;CCR DESAR
4N-1320;2;;1393;GASKET (ADAPTER);273-7583;;CCR DESAR
6V-1454;2;;1393;SEAL-O-RING;273-7583;;CCR DESAR
6V-5066;5;;1393;SEAL-O-RING;273-7583;;CCR DESAR
6V-6609;2;;1393;SEAL-O-RING;273-7583;;CCR DESAR
8T-6761;1;;1393;PLUG-PIPE (1-11-1/2 NPT THD);273-7583;;CCR DESAR
8T-6765;3;;1393;PLUG-PIPE (1/4-18-THD);273-7583;;CCR DESAR
9S-4185;2;;1393;PLUG (3/4-16-THD);273-7583;;CCR EN&CA
9S-8752;2;;1393;NUT-FULL (3/8-16-THD);273-7583;;CCR DESAR
108-6170;4;;1393;CLAMP AS;261-7290;;CCR DESAR
110-0096;2;;1393;RING;261-7290;;CCR DESAR
5P-6302;1;;1393;SEAL-O-RING;261-7290;;CCR DESAR
6V-5066;2;;1393;SEAL-O-RING;261-7290;;CCR DESAR
6V-6809;1;;1393;SEAL-O-RING;261-7290;;CCR DESAR
7W-6492;1;;1393;PLUG-PIPE (1/2-14-THD);261-7290;;CCR DESAR
8T-6760;1;;1393;PLUG-PIPE (1-1/2-11-1/2 NPT);261-7290;;CCR DESAR
8T-6765;1;;1393;PLUG-PIPE (1/4-18-THD);261-7290;;CCR DESAR
9S-8752;4;;1393;NUT-FULL (3/8-16-THD);261-7290;;CCR DESAR
1S-5772;1;;1393;GASKET;261-7290;;CCR DESAR
7N-3368;2;;1393;GASKET;261-7286;;CCR BLK
122-8856;8;;1393;GASKET;261-7286;;CCR DESAR
