Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;4319497;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
110-2220;6;;1201;SEAL-LINER;357-1317;;CCR P&B
142-6217;6;;1201;SEAL-O-RING;357-1317;;CCR P&B
142-7072;6;;1201;SEAL-LINER;357-1317;;CCR P&B
9L-5854;6;;1201;BAND-FILLER (130.2-MM ID);357-1317;;CCR P&B
6V-6609;1;;1201;SEAL-O-RING;229-6709;;CCR BLK
214-7566;1;;1201;SEAL-O-RING;229-6709;;CCR BLK
238-5080;1;;1201;SEAL-O-RING;229-6709;;CCR BLK
142-2329;1;;1201;SEAL;223-9252;;CCR BLK
227-1204;1;;1201;GASKET;223-9252;;CCR BLK
2M-6471;2;;1201;PLUG-CUP;223-9252;;CCR BLK
5P-0840;1;;1201;SEAL-O-RING;223-9252;;CCR BLK
253-1752;2;;1202;PLATE-THRUST;223-9731;;CCR BLK
4N-0684;1;;1202;DOWEL;223-9731;;CCR BLK
142-5867;1;;1160;SEAL-CRANKSHAFT (FRONT);319-7401;;CCR BLK
6V-1197;1;;1210;SEAL-O-RING;234-7935;;CCR BLK
160-8184;2;;1204;BUSHING;4P-9823;;CCR DESAR
4N-1230;2;;1204;SEAL-O-RING;4P-9823;;CCR DESAR
1W-4738;2;;1204;BUSHING;4P-9823;;CCR DESAR
4N-0684;1;;1204;DOWEL;4P-9823;;CCR DESAR
5M-2894;8;;1204;WASHER-HARD (10.2X18.5X2.5-MM THK);4P-9823;;CCR DESAR
5P-8244;6;;1204;WASHER-HARD (12X22.5X2.5-MM THK);4P-9823;;CCR DESAR
5P-8247;4;;1204;WASHER-HARD (17X32X3.5-MM THK);4P-9823;;CCR DESAR
9X-7371;2;;1204;SEAL-O-RING;4P-9823;;CCR DESAR
4M-0189;1;;1204;SEAL-O-RING;4P-9823;;CCR DESAR
5P-8245;2;;1204;WASHER-HARD (13.5X25.5X3-MM THK);4P-9823;;CCR DESAR
234-8937;1;;1204;SEAL-INTEGRAL;4P-9823;;CCR DESAR
2J-3118;5;;1162;BOLT-LOCKING (3/8-16X1.25-IN);208-9490;;CCR DESAR
5P-4142;2;;1162;BOLT-LOCKING (3/8-16X1.5-IN);208-9490;;CCR DESAR
1B-8705;2;;1162;KEY-WOODRUFF;208-9490;;CCR DESAR
126-1756;10;;1162;BOLT-LOCKING (5/16-18X0.875-IN);208-9490;;CCR DESAR
112-9217;1;;1162;PLATE-THRUST;208-9490;;CCR DESAR
130-4698;1;;1162;BUSHING;208-9490;;CCR DESAR
6I-3624;2;;1162;PLATE-THRUST;208-9490;;CCR DESAR
101-8468;1;;1162;BUSHING;208-9490;;CCR DESAR
131-7123;1;;1162;BUSHING;208-9490;;CCR DESAR
117-8801;1;;1162;SEAL-O-RING;208-9490;;CCR DESAR
5E-8771;1;;1162;SEAL-O-RING;208-9490;;CCR DESAR
102-5861;1;;1162;PLATE-THRUST;208-9490;;CCR DESAR
107-0583;3;;1162;BOLT-LOCKING (1/4-20X0.87-IN);208-9490;;CCR DESAR
6V-5100;1;;1107;SEAL-O-RING;150-3139;;CCR DESAR
242-9537;1;;1107;SEAL-VALVE COVER;150-3139;;CCR DESAR
2W-6225;1;;1107;CAP AS-OIL FILLER (ENGINE);150-3139;;CCR DESAR
243-1159;6;;1107;FASTENER AS;150-3139;;CCR DESAR
149-7378;1;;1107;GROMMET;150-3139;;CCR DESAR
242-9537;1;;1107;SEAL-VALVE COVER;150-3135;;CCR DESAR
243-1159;6;;1107;FASTENER AS;150-3135;;CCR DESAR
149-7378;1;;1107;GROMMET;150-3135;;CCR DESAR
6V-5100;1;;1107;SEAL-O-RING;160-7452;;CCR DESAR
243-1159;6;;1107;FASTENER AS;160-7452;;CCR DESAR
149-7378;1;;1107;GROMMET;160-7452;;CCR DESAR
242-9537;1;;1107;SEAL-VALVE COVER;160-7452;;CCR DESAR
107-5769;2;;1256;SEAL-O-RING;150-4279;;CCR DESAR
5M-2894;2;;1256;WASHER-HARD (10.2X18.5X2.5-MM THK);150-4279;;CCR DESAR
327-0376;1;;1251;VALVE GP-CHECK -FUEL;327-0376;;CCR DESAR
033-6033;1;;1251;SEAL-O-RING;327-0376;;CCR DESAR
6V-6923;1;;1251;RING-BACKUP;327-0376;;CCR DESAR
214-7568;1;;1274;SEAL-O-RING;193-7404;;CCR DESAR
6V-6609;1;;1274;SEAL-O-RING;193-7404;;CCR DESAR
3S-2093;2;;1274;STRAP-CABLE;246-4620;;CCR DESAR
116-5263;1;;1274;HOSE AS;246-4620;;CCR DESAR
214-7568;2;;1274;SEAL-O-RING;246-4620;;CCR DESAR
238-5080;5;;1274;SEAL-O-RING;246-4620;;CCR DESAR
235-2470;1;;1274;HOSE AS;246-4620;;CCR DESAR
237-2706;1;;1274;HOSE AS;246-4620;;CCR DESAR
