Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;Cart JRP,10R-981;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
101-6603;2;1408;Cap;251-7428;Connection GP-Electrical;CCR DESARME;;;
5P-1075;2;1408;Washer-Hard;251-7428;Connection GP-Electrical;CCR DESARME;;;
8T-4896;4;1408;Washer-Hard;251-7428;Connection GP-Electrical;CCR DESARME;;;
232-1693;2;1901;Bolt-Flange Head;243-1554;Control & Mtg GP-Engine Elek;CCR  TU&EL;;;
8T-9655;8;1901;Mount-Isolation;243-1554;Control & Mtg GP-Engine Elek;CCR  TU&EL;;;
8T-4224;5;1901;Washer-Hard;243-1554;Control & Mtg GP-Engine Elek;CCR  TU&EL;;;
9N-0869;4;1901;Washer-Hard;243-1554;Control & Mtg GP-Engine Elek;CCR  TU&EL;;;
239-5571;1;1201;Seal-Integral;129-5229;Cover GP-Cylinder Block;CCR DESARME;;;
234-8937;1;1201;Seal-Integral;129-5229;Cover GP-Cylinder Block;CCR DESARME;;;
239-5572;1;1201;Seal-Integral;129-5229;Cover GP-Cylinder Block;CCR DESARME;;;
343-8888;1;1201;Gasket;129-5229;Cover GP-Cylinder Block;CCR DESARME;;;
227-5538;1;1157;Seal-O-Ring;299-9332;Cover GP-Flywheel Housing;CCR DESARME;;;
234-8937;2;1157;Seal-Integral;299-9332;Cover GP-Flywheel Housing;CCR DESARME;;;
239-1139;2;1151;Seal;237-3674;Cover GP-Front Housing;CCR DESARME;;;
125-9794;1;1151;Seal-O-Ring;237-3674;Cover GP-Front Housing;CCR DESARME;;;
2M-1538;1;1151;Stud-Taperlock;237-3674;Cover GP-Front Housing;CCR DESARME;;;
2P-1974;3;1151;Stud-Taperlock;237-3674;Cover GP-Front Housing;CCR DESARME;;;
3K-3256;1;1151;Stud-Taperlock;237-3674;Cover GP-Front Housing;CCR DESARME;;;
4W-3034;2;1107;Clamp-Hose;299-6734;Cover GP-Valve Mechanism;CCR DESARME;;;
212-7728;36;1107;Isolator AS;299-6734;Cover GP-Valve Mechanism;CCR DESARME;;;
224-7506;6;1107;Seal-Valve Cover;299-6734;Cover GP-Valve Mechanism;CCR DESARME;;;
4W-3027;2;1107;Breather AS;299-6734;Cover GP-Valve Mechanism;CCR DESARME;;;
033-6031;2;1107;Seal-O-Ring;299-6734;Cover GP-Valve Mechanism;CCR DESARME;;;
5P-8211;2;1107;Seal-O-Ring;299-6734;Cover GP-Valve Mechanism;CCR DESARME;;;
7E-6508;12;1120;Cap AS;223-6408;Base GP-Valve Cover & Inj Harn;CCR DESARME;;;
253-1752;2;1202;Plate-Thrust;224-3250;Crankshaft GP;CCR BLOCK;;;
354-8484;2;1201;Gasket-Plate;349-2859;Cylinder Block GP;CCR DESARME;;;
5P-8356;4;1201;Seal-O-Ring;349-2859;Cylinder Block GP;CCR DESARME;;;
240-9543;14;1201;Washer;349-2859;Cylinder Block GP;CCR DESARME;;;
238-5082;2;1201;Seal-O-Ring;349-2859;Cylinder Block GP;CCR DESARME;;;
6L-4428;3;1201;Stud-Taperlock;349-2859;Cylinder Block GP;CCR DESARME;;;
214-7566;1;1201;Seal-O-Ring;349-2859;Cylinder Block GP;CCR DESARME;;;
3B-0645;1;1201;Plug-Cup;349-2859;Cylinder Block GP;CCR DESARME;;;
359-1439;48;1100;Seal AS-Water;339-3585;Cylinder Head GP;CCR DESARME;;;
225-3099;2;1100;Gasket-Cylinder Head;339-3585;Cylinder Head GP;CCR DESARME;;;
445-8643;1;1100;Panel;339-3585;Cylinder Head GP;CCR DESARME;;;
214-7568;10;1100;Seal-O-Ring;339-3585;Cylinder Head GP;CCR DESARME;;;
6V-6609;4;1100;Seal-O-Ring;339-3585;Cylinder Head GP;CCR DESARME;;;
0L-1143;1;1304;Bolt;119-8583;Fastener GP-Oil Pump Mounting;CCR DESARME;;;
3G-2292;5;1151;Bolt-Locking;235-0993;Gear GP-Front;CCR DESARME;;;
4N-0342;1;1151;Plate;235-0993;Gear GP-Front;CCR DESARME;;;
