Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;T4Y_3597672;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
238-5080;2;;1261;Seal-O-Ring;350-2107;Base GP-Fuel Filter;CCR DESARME
238-5081;2;;1261;Seal-O-Ring;350-2107;Base GP-Fuel Filter;CCR DESARME
6V-3965;1;;7542;Fitting;123-0783;Valve GP-Fluid Sampling;CCR DESARME
214-7568;1;;7542;Seal-O-Ring;123-0783;Valve GP-Fluid Sampling;CCR DESARME
6V-0852;1;;7542;Cap-Dust;123-0783;Valve GP-Fluid Sampling;CCR DESARME
1R-0755;2;;1261;Filter-Fuel;344-5583;Base GP-Fuel Filter;CCR DESARME
214-7566;2;;1261;Seal-O-Ring;344-5583;Base GP-Fuel Filter;CCR DESARME
238-5080;1;;1261;Seal-O-Ring;344-5583;Base GP-Fuel Filter;CCR DESARME
214-7567;1;;1261;Seal-O-Ring;344-5583;Base GP-Fuel Filter;CCR DESARME
256-6453;3;;1408;Sensor-Temperature;234-5013;Sensor GP-Temperature;CCR TU&ELE
238-5080;3;;1408;Seal-O-Ring;234-5013;Sensor GP-Temperature;CCR TU&ELE
275-1253;1;;1408;Switch GP-Pressure;275-1253;Switch GP-Pressure;CCR TU&ELE
320-3060;1;;1408;Sensor GP-Pressure;325-8634;Sensor GP-Pressure;CCR TU&ELE
228-7100;1;;1408;Seal-O-Ring;325-8634;Sensor GP-Pressure;CCR TU&ELE
101-6603;2;;1408;Cap;251-7428;Connection GP-Electrical;CCR DESARME
8T-9655;8;;1901;Mount-Isolation;348-4046;Control & Mtg GP-Engine Elek;CCR DESARME
7S-8767;4;;1365;Gasket;333-2820;Cooler GP-Oil;CCR DESARME
10R-0817;2;;1365;Core AS-Oclr;333-2820;Cooler GP-Oil;CCR DESARME
234-8937;1;;1201;Seal-Integral;353-4495;Cover GP-Cylinder Block;CCR DESARME
239-5571;1;;1201;Seal-Integral;353-4495;Cover GP-Cylinder Block;CCR DESARME
239-5572;1;;1201;Seal-Integral;353-4495;Cover GP-Cylinder Block;CCR DESARME
343-8888;1;;1201;Gasket;353-4495;Cover GP-Cylinder Block;CCR DESARME
7C-0307;1;;1201;Gasket;353-4495;Cover GP-Cylinder Block;CCR DESARME
227-5538;1;;1157;Seal-O-Ring;299-9332;Cover GP-Flywheel Housing;CCR DESARME
234-8937;2;;1157;Seal-Integral;299-9332;Cover GP-Flywheel Housing;CCR DESARME
239-1139;2;;1151;Seal;342-0678;Cover GP-Front Housing;CCR DESARME
125-9794;1;;1151;Seal-O-Ring;342-0678;Cover GP-Front Housing;CCR DESARME
2P-1974;3;;1151;Stud-Taperlock;342-0678;Cover GP-Front Housing;CCR DESARME
3K-3256;1;;1151;Stud-Taperlock;342-0678;Cover GP-Front Housing;CCR DESARME
7L-0520;1;;1151;Stud-Taperlock;342-0678;Cover GP-Front Housing;CCR DESARME
