Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;ATY 20R-6116;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
2M-0849;16;;1157;WASHER-HARD (13.5X25.5X5-MM THK);384-3632;;CCR DISTRI
5F-5434;1;;1803;VALVE AS-VENT;152-1031;;CCR BBA
5T-8088;1;;1803;HOSE AS;152-1031;;CCR DESAR
7V-0916;1;;1803;HOSE AS;152-1031;;CCR DESAR
8N-2811;1;;1803;GASKET;152-1031;;CCR DESAR
9N-5221;1;;1803;HOSE AS;152-1031;;CCR DESAR
152-1005;1;;1803;HOSE AS;152-1031;;CCR DESAR
1S-0994;1;;1803;CLIP (LOOP);152-1031;;CCR DESAR
2M-9780;2;;1803;SEAL-O-RING;152-1031;;CCR DESAR
5M-2894;1;;1803;WASHER-HARD (10.2X18.5X2.5-MM THK);152-1031;;CCR DESAR
5P-4295;2;;1803;CLIP;152-1031;;CCR DESAR
5P-8245;1;;1803;WASHER-HARD (13.5X25.5X3-MM THK);152-1031;;CCR DESAR
8M-2770;1;;1803;CLIP (LOOP);152-1031;;CCR DESAR
2S-2923;1;;1804;COVER AS (GOVERNOR);4N-9680;;CCR BBA
2K-8198;1;;1804;SEAL-O-RING;4N-9680;;CCR BBA
9M-0402;1;;1804;KIT-GOVERNOR OVERHAUL (AIR COMPRESSOR);4N-9680;;CCR BBA
4W-3027;2;;1317;BREATHER AS (CRANKCASE);394-8105;;CCR M&B
4W-3034;2;;1317;CLAMP-HOSE;394-8105;;CCR M&B
217-6692;1;;1317;HOSE-TEE;394-8105;;CCR M&B
033-6031;2;;1317;SEAL-O-RING;394-8105;;CCR M&B
5P-0597;2;;1317;CLAMP-HOSE;394-8105;;CCR M&B
4W-3027;2;;1317;BREATHER AS (CRANKCASE);394-8134;;CCR M&B
4W-3034;2;;1317;CLAMP-HOSE;394-8134;;CCR M&B
217-6692;1;;1317;HOSE-TEE;394-8134;;CCR M&B
033-6031;2;;1317;SEAL-O-RING;394-8134;;CCR M&B
5P-0597;2;;1317;CLAMP-HOSE;394-8134;;CCR M&B
4W-3027;2;;1317;BREATHER AS (CRANKCASE);394-8137;;CCR M&B
4W-3034;2;;1317;CLAMP-HOSE;394-8137;;CCR M&B
217-6692;1;;1317;HOSE-TEE;394-8137;;CCR M&B
033-6031;2;;1317;SEAL-O-RING;394-8137;;CCR M&B
5P-0597;2;;1317;CLAMP-HOSE;394-8137;;CCR M&B
5M-8137;1;;1802;V-BELT GP (1/2X50-IN)(REFRIGERANT COMPRESSOR;502-7013;;CCR BBA
237-9960;1;;1802;CLIP (LADDER);502-7013;;CCR BBA
304-2740;1;;1802;MANIFOLD AS (AIR CONDITIONER);502-7013;;CCR BBA
465-2689;1;;1802;SEAL-WEAR SLEEVE;502-7013;;CCR BBA
3K-2889;1;;1802;LOCKNUT (5/8-11-THD);502-7013;;CCR BBA
3S-2093;1;;1802;STRAP-CABLE;502-7013;;CCR BBA
5M-2894;24;;1802;WASHER-HARD (10.2X18.5X2.5-MM THK);502-7013;;CCR BBA
5P-8245;5;;1802;WASHER-HARD (13.5X25.5X3-MM THK);502-7013;;CCR BBA
5P-8247;3;;1802;WASHER-HARD (17X32X3.5-MM THK);502-7013;;CCR BBA
8T-4121;1;;1802;WASHER-HARD (11X21X2.5-MM THK);502-7013;;CCR BBA
9X-7385;2;;1802;SEAL-O-RING;502-7013;;CCR BBA
5P-7701;1;;1380;SEAL-O-RING;175-5235;;CCR EN&CA
7E-6016;4;;1380;GASKET (REGULATOR HOUSING, OUTLET);175-5235;;CCR EN&CA
8T-9655;8;;1901;MOUNT-ISOLATION;107-9513;;CCR TU&EL
9M-1974;1;;1901;WASHER-HARD (8.8X16X2-MM THK);107-9513;;CCR TU&EL
9N-0869;4;;1901;WASHER-HARD (8.8X25.5X2-MM THK);107-9513;;CCR TU&EL
8N-9885;1;;1901;GASKET-COVER;107-9513;;CCR TU&EL
5M-2894;7;;1901;WASHER-HARD (10.2X18.5X2.5-MM THK);107-9513;;CCR TU&EL
105-8901;2;;1378;GASKET-OIL COOLER;152-0992;;CCR EN&CA
237-7623;2;;1378;SEAL-O-RING;152-0992;;CCR EN&CA
283-1400;1;;1375;FILM-IDENTIFICATION (ARROW, SUN VISOR);243-5773;;CCR EN&CA
272-0758;1;;1210;SEAL (PRESS IN PLACE);488-3198;;CCR BLK
5M-2894;5;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);488-3198;;CCR BLK
272-0758;1;;1210;SEAL;393-4969;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4969;;CCR BLK
272-0758;1;;1210;SEAL;393-4971;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4971;;CCR BLK
272-0758;1;;1210;SEAL;393-4972;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4972;;CCR BLK
272-0758;1;;1210;SEAL;393-4974;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4974;;CCR BLK
272-0758;1;;1210;SEAL;393-4975;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4975;;CCR BLK
272-0758;1;;1210;SEAL;393-4977;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4977;;CCR BLK
272-0758;1;;1210;SEAL;393-4979;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4979;;CCR BLK
272-0758;1;;1210;SEAL;393-4980;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4980;;CCR BLK
272-0758;1;;1210;SEAL;393-4982;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4982;;CCR BLK
272-0758;1;;1210;SEAL;393-4983;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4983;;CCR BLK
272-0758;1;;1210;SEAL;393-4986;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4986;;CCR BLK
272-0758;1;;1210;SEAL;488-3202;;CCR BLK
5M-2894;4;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);488-3202;;CCR BLK
272-0758;1;;1210;SEAL;393-4990;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4990;;CCR BLK
272-0758;1;;1210;SEAL;393-4994;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4994;;CCR BLK
272-0758;1;;1210;SEAL;393-4996;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4996;;CCR BLK
272-0758;1;;1210;SEAL;393-4999;;CCR BLK
5M-2894;6;;1210;WASHER-HARD (10.2X18.5X2.5-MM THK);393-4999;;CCR BLK
5M-2894;1;;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);375-3656;;CCR BLK
5P-8210;1;;1201;SEAL-O-RING;375-3656;;CCR BLK
5P-8245;1;;1201;WASHER-HARD (13.5X25.5X3-MM THK);375-3656;;CCR BLK
5P-8245;4;;1201;WASHER-HARD (13.5X25.5X3-MM THK);381-6947;;CCR BLK
5M-2894;1;;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);383-4251;;CCR BLK
5P-8210;1;;1201;SEAL-O-RING;383-4251;;CCR BLK
5P-8245;1;;1201;WASHER-HARD (13.5X25.5X3-MM THK);383-4251;;CCR BLK
272-0759;16;;1201;SEAL;394-3354;;CCR BLK
5M-2894;64;;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);394-3354;;CCR BLK
9X-8872;64;;1201;BOLT-LOCKING (3/8-16X0.875-IN);394-3354;;CCR BLK
225-3227;1;;1201;FILM-WARNING (HOT SURFACE);394-3354;;CCR BLK
