Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;FDB 20R-6115;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
374-8497;1;1405;BELT;417-6940;ALTERNATOR GP-CHARGING;CCR DRIST;;;
4W-3027;2;1317;BREATHER AS (CRANKCASE);394-8105;BREATHER GP;CCR M&B;;;
4W-3034;2;1317;CLAMP-HOSE;394-8105;BREATHER GP;CCR M&B;;;
217-6692;1;1317;HOSE-TEE;394-8105;BREATHER GP;CCR M&B;;;
033-6031;2;1317;SEAL-O-RING;394-8105;BREATHER GP;CCR M&B;;;
5P-0597;2;1317;CLAMP-HOSE;394-8105;BREATHER GP;CCR M&B;;;
4W-3027;2;1317;BREATHER AS (CRANKCASE);394-8134;BREATHER GP -CRANKCASE;CCR M&B;;;
4W-3034;2;1317;CLAMP-HOSE;394-8134;BREATHER GP -CRANKCASE;CCR M&B;;;
217-6692;1;1317;HOSE-TEE;394-8134;BREATHER GP -CRANKCASE;CCR M&B;;;
033-6031;2;1317;SEAL-O-RING;394-8134;BREATHER GP -CRANKCASE;CCR M&B;;;
5P-0597;2;1317;CLAMP-HOSE;394-8134;BREATHER GP -CRANKCASE;CCR M&B;;;
4W-3027;2;1317;BREATHER AS (CRANKCASE);394-8137;BREATHER GP -CRANKCASE;CCR M&B;;;
4W-3034;2;1317;CLAMP-HOSE;394-8137;BREATHER GP -CRANKCASE;CCR M&B;;;
217-6692;1;1317;HOSE-TEE;394-8137;BREATHER GP -CRANKCASE;CCR M&B;;;
033-6031;2;1317;SEAL-O-RING;394-8137;BREATHER GP -CRANKCASE;CCR M&B;;;
5P-0597;2;1317;CLAMP-HOSE;394-8137;BREATHER GP -CRANKCASE;CCR M&B;;;
8N-9885;1;1802;GASKET-COVER;363-4108;COMPRESSOR GP-REFRIGERANT;CCR DRIST;;;
186-4195;1;1802;BELT-SERPENTINE (REFRIGERANT COMPRESSOR);363-4108;COMPRESSOR GP-REFRIGERANT;CCR DRIST;;;
218-0324;1;1802;COMPRESSOR GP-REFRIGERANT;363-4108;COMPRESSOR GP-REFRIGERANT;CCR DRIST;;;
336-4953;1;1802;TENSIONER-BELT;363-4108;COMPRESSOR GP-REFRIGERANT;CCR DRIST;;;
4P-7581;1;1802;CLIP (LADDER);363-4108;COMPRESSOR GP-REFRIGERANT;CCR DRIST;;;
4P-8134;1;1802;CLIP (LADDER);363-4108;COMPRESSOR GP-REFRIGERANT;CCR DRIST;;;
6K-8179;1;1802;CLIP;363-4108;COMPRESSOR GP-REFRIGERANT;CCR DRIST;;;
144-5611;1;1802;PULLEY AS-IDLER;144-5612;IDLER GP-BELT;CCR DRIST;;;
144-8122;1;1802;BOLT-SPECIAL (M10X1.5X65-MM);144-5612;IDLER GP-BELT;CCR DRIST;;;
144-8123;1;1802;SPACER-SPECIAL;144-5612;IDLER GP-BELT;CCR DRIST;;;
6V-9027;1;1802;SEAL-O-RING;144-5612;IDLER GP-BELT;CCR DRIST;;;
5P-7701;1;1380;SEAL-O-RING;175-5235;CONNECTION GP-WATER;CCR EN&CA;;;
7E-6016;4;1380;GASKET (REGULATOR HOUSING, OUTLET);175-5235;CONNECTION GP-WATER;CCR EN&CA;;;
8T-9655;8;1901;MOUNT-ISOLATION;230-1077;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL;;;
9N-0869;4;1901;WASHER-HARD (8.8X25.5X2-MM THK);230-1077;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL;;;
105-8901;2;1378;GASKET-OIL COOLER;152-0992;COOLER GP-ENGINE OIL;CCR EN&CA;;;
237-7623;2;1378;SEAL-O-RING;152-0992;COOLER GP-ENGINE OIL;CCR EN&CA;;;
272-0758;1;1210;SEAL (PRESS IN PLACE);488-3198;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4969;COVER GP-CAMSHAFT;CCR BLK;;;
576-1158;1;1210;FILM-IDENTIFICATION (CAT);393-4969;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;433-4990;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4972;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4973;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4974;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4977;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4979;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4980;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4982;COVER GP-CAMSHAFT;CCR BLK;;;
576-1158;1;1210;FILM-IDENTIFICATION (CAT);393-4982;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;430-2578;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;488-3202;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4993;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4994;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4996;COVER GP-CAMSHAFT;CCR BLK;;;
272-0758;1;1210;SEAL;393-4999;COVER GP-CAMSHAFT;CCR BLK;;;
5P-8210;1;1201;SEAL-O-RING;375-3656;COVER GP-CYLINDER BLOCK -REAR, RH;CCR BLK;;;
