Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;CCR LAJ;20R7015;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
3P-0656;4;;1312;SEAL-O-RING;262-1287;;CCR BLK
5S-9134;2;;1312;SEAL-O-RING;262-1287;;CCR BLK
6V-5839;3;;1312;WASHER (11X21X2.5-MM THK);262-1287;;CCR BBA
9M-1974;6;;1312;WASHER-HARD (8.8X16X2-MM THK);262-1287;;CCR BBA
7Y-5280;1;;1251;SEAL-O-RING;293-5016;;CCR BBA
8T-7876;1;;1251;SEAL-O-RING;293-5016;;CCR BBA
418-1262;1;;1304;HOSE AS;329-8645;;CCR BBA
469-1950;1;;;Valve GP-Pressure Control(Engine Oil);329-8645;;CCR BBA
416-4703;1;;;PUMP GP-FUEL PRIMING -ELECTRIC;416-4703;;CCR BBA
228-7090;1;;1274;SEAL-O-RING;422-2371;;CCR BBA
228-7105;1;;1274;SEAL-O-RING;422-2371;;CCR BBA
185-3503;1;;1256;SEAL-O-RING;447-7162;;CCR BBA
445-2070;1;;1256;VALVE GP-CHECK;447-7162;;CCR BBA
453-1566;1;;1256;PUMP AS-FUEL TRANSFER;447-7162;;CCR BBA
300-6714;6;;1258;MOUNT;455-7761;;CCR BBA
228-7091;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7092;2;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7093;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7100;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7102;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7105;2;;1274;SEAL-O-RING;475-1623;;CCR BBA
228-7106;1;;1274;SEAL-O-RING;475-1623;;CCR BBA
238-5084;2;;1274;SEAL-O-RING;475-1623;;CCR BBA
5P-9186;2;;1274;SEAL-O-RING;475-1623;;CCR BBA
6V-5839;4;;1274;WASHER (11X21X2.5-MM THK);475-1623;;CCR BBA
108-1434;1;;1252;GROMMET;475-1917;;CCR BBA
228-7090;3;;1252;SEAL-O-RING;475-1917;;CCR BBA
228-7091;7;;1252;SEAL-O-RING;475-1917;;CCR BBA
228-7092;2;;1252;SEAL-O-RING;475-1917;;CCR BBA
228-7093;2;;1252;SEAL-O-RING;475-1917;;CCR BBA
228-7102;2;;1252;SEAL-O-RING;475-1917;;CCR BBA
228-7105;7;;1252;SEAL-O-RING;475-1917;;CCR BBA
238-5081;2;;1252;SEAL-O-RING;475-1917;;CCR BBA
238-5083;1;;1252;SEAL-O-RING;475-1917;;CCR BBA
323-9923;1;;1252;VALVE GP-CHECK;475-1917;;CCR BBA
353-7953;1;;1252;GROMMET (19-MM ID);475-1917;;CCR BBA
369-6670;1;;1252;VALVE-CHECK;475-1917;;CCR BBA
422-8374;2;;1252;HOSE AS;475-1917;;CCR BBA
443-3687;1;;1252;HOSE AS;475-1917;;CCR BBA
457-7752;1;;1252;HOSE AS;475-1917;;CCR BBA
459-8418;1;;1252;REGULATOR-PRESSURE;475-1917;;CCR BBA
482-3477;1;;1252;HOSE AS;475-1917;;CCR BBA
5P-8245;2;;1252;WASHER-HARD (13.5X25.5X3-MM THK);475-1917;;CCR BBA
6V-5839;2;;1252;WASHER (11X21X2.5-MM THK);475-1917;;CCR BBA
214-7568;1;;1252;SEAL-O-RING;478-0099;;CCR BBA
228-7089;1;;1252;SEAL-O-RING;478-0099;;CCR BBA
228-7090;1;;1252;SEAL-O-RING;478-0099;;CCR BBA
228-7102;2;;1252;SEAL-O-RING;478-0099;;CCR BBA
4P-0707;2;;1252;CLAMP AS;478-0099;;CCR BBA
6V-5839;1;;1252;WASHER (11X21X2.5-MM THK);478-0099;;CCR BBA
5D-5958;1;;1256;SEAL-O-RING;486-4600;;CCR BBA
207-2755;1;;1256;SEAL-O-RING;505-1184;;CCR BBA
20R-6601;1;;;Pump GP-Fuel (HPFP);505-1184;;CCR BBA
377-9588;1;;1256;PLUG-MAGNETIC (FUEL PUMP);505-1184;;CCR BBA
382-5051;1;;1256;KIT-FUEL INJECTION PUMP (CONTAMINATION CONTR;505-1184;;CCR BBA
5P-7530;1;;1256;SEAL-O-RING;505-1184;;CCR BBA
6V-5553;1;;1256;SEAL-O-RING;505-1184;;CCR BBA
6V-8676;1;;1256;SEAL-O-RING;505-1184;;CCR BBA
6V-9028;2;;1256;SEAL-O-RING;505-1184;;CCR BBA
7X-4744;1;;1256;SEAL-O-RING;505-1184;;CCR BBA
5P-8245;6;;5070;WASHER-HARD (13.5X25.5X3-MM THK);538-3921;;CCR BBA
6V-5055;1;;5070;SEAL-O-RING;538-3921;;CCR BBA
175-7904;1;;1361;SEAL-O-RING;562-0160;;CCR BBA
228-7088;2;;1361;SEAL-O-RING;562-0160;;CCR BBA
228-7100;1;;1361;SEAL-O-RING;562-0160;;CCR BBA
8C-3076;1;;1361;SEAL-O-RING;562-0160;;CCR BBA
9M-3786;1;;1361;SEAL-O-RING;562-0160;;CCR BBA
591-4464;2;;;Bolt-Head;262-1287;;CCR BBA M0126385
438-3101;1;;1160;SEAL-CRANKSHAFT;248-4115;;CCR BLK
438-3102;1;;1160;SEAL-CRANKSHAFT;248-4115;;CCR BLK
228-7101;2;;1201;SEAL-O-RING;314-2430;;CCR BLK
228-7101;2;;1201;SEAL-O-RING;314-2431;;CCR BLK
8T-7525;1;;1201;SEAL-O-RING;319-8583;;CCR BLK
8T-7525;1;;1201;SEAL-O-RING;322-2927;;CCR BLK
286-5801;11;;1202;Bearing-Main;359-0940;;CCR BLK
341-4708;2;;1202;Plate-Thrust;359-0940;;CCR BLK
237-8306;42;;1202;Bolt AS;359-0941;;CCR BLK
244-2446;2;;1201;PLUG-CUP;370-4044;;CCR BLK
262-1102;32;;1201;PLUG-CUP;370-4044;;CCR BLK
249-6392;11;;1201;BEARING-CAMSHAFT;370-4045;;CCR BLK
371-6455;20;;1201;DOWEL;370-4045;;CCR BLK
6V-3535;40;;1201;DOWEL;370-4045;;CCR BLK
