Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;221;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
1R-1808;3;;1306;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);4N-2357;FILTER GP-ENGINE OIL;CCR DESAR
2P-4304;1;;1306;STUD-HOLLOW;4N-2357;FILTER GP-ENGINE OIL;CCR DESAR
2P-4305;1;;1306;GASKET;4N-2357;FILTER GP-ENGINE OIL;CCR DESAR
126-2702;2;;1052;SEAL-INTEGRAL;217-5677;LINES GP-TURBOCHARGER OIL;CCR DESAR
198-6068;2;;1052;SEAL-INTEGRAL;217-5677;LINES GP-TURBOCHARGER OIL;CCR DESAR
106-9586;1;;1052;SEAL-O-RING;217-5677;LINES GP-TURBOCHARGER OIL;CCR DESAR
112-3540;2;;1052;SEAL-O-RING;217-5677;LINES GP-TURBOCHARGER OIL;CCR DESAR
228-7091;2;;1052;SEAL-O-RING;217-5677;LINES GP-TURBOCHARGER OIL;CCR DESAR
238-5081;2;;1052;SEAL-O-RING;217-5677;LINES GP-TURBOCHARGER OIL;CCR DESAR
5P-5846;2;;1052;SEAL-O-RING;217-5677;LINES GP-TURBOCHARGER OIL;CCR DESAR
8C-3089;1;;1256;SEAL-O-RING;223-6421;PUMP & MTG GP-FUEL TRANSFER;CCR DESAR
239-1139;2;;1201;SEAL;224-3170;COVER GP-CYLINDER BLOCK -FRONT STRUCTURE;CCR DESAR
125-9794;1;;1201;SEAL-O-RING;224-3170;COVER GP-CYLINDER BLOCK -FRONT STRUCTURE;CCR DESAR
2M-1538;1;;1201;STUD-TAPERLOCK (3/8-16X1.6-IN);224-3170;COVER GP-CYLINDER BLOCK -FRONT STRUCTURE;CCR DESAR
2P-1974;3;;1201;STUD-TAPERLOCK (3/8-16X4.2-IN);224-3170;COVER GP-CYLINDER BLOCK -FRONT STRUCTURE;CCR DESAR
3K-3256;1;;1201;STUD-TAPERLOCK (3/8-16X1.7-IN);224-3170;COVER GP-CYLINDER BLOCK -FRONT STRUCTURE;CCR DESAR
9X-7371;1;;1361;SEAL-O-RING;230-4172;PUMP GP-WATER;CCR BBA
232-1693;1;;1901;BOLT-FLANGE HEAD (M6X1X35-MM);241-0072;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL
8T-9655;8;;1901;MOUNT-ISOLATION;241-0072;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL
6N-9533;2;;1067;SHIELD AS-HEAT;243-3864;SHIELD GP-HEAT;CCR DESAR
1S-9169;8;;1067;BOLT-HIGH TEMPERATURE (3/8-16X0.75-IN);243-3864;SHIELD GP-HEAT;CCR DESAR
225-1242;1;;1157;GASKET (FLYWHEEL HOUSING);245-9775;HOUSING GP-FLYWHEEL;CCR DESAR
214-7567;1;;1157;SEAL-O-RING;245-9775;HOUSING GP-FLYWHEEL;CCR DESAR
214-7566;1;;1157;SEAL-O-RING;245-9775;HOUSING GP-FLYWHEEL;CCR DESAR
214-7568;1;;1157;SEAL-O-RING;245-9775;HOUSING GP-FLYWHEEL;CCR DESAR
238-5080;1;;1157;SEAL-O-RING;245-9775;HOUSING GP-FLYWHEEL;CCR DESAR
8S-9191;6;;1157;BOLT (3/8-16X4-IN);245-9775;HOUSING GP-FLYWHEEL;CCR DESAR
