Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;340-2665;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
101-6603;2;1408;CAP (STUD PROTECTOR);251-7428;;CCR DESAR;;;
5P-1075;2;1408;WASHER-HARD (10.2X22.5X3-MM THK);251-7428;;CCR DESAR;;;
8T-4896;4;1408;WASHER-HARD (10.2X18.5X2.5-MM THK);251-7428;;CCR DESAR;;;
8T-9655;8;7620;MOUNT-ISOLATION;351-2235;;CCR TU&EL;;;
7X-0579;3;7620;WASHER-HARD (8.8X25.5X2-MM THK);351-2235;;CCR TU&EL;;;
8T-4224;7;7620;WASHER-HARD (8.8X16X2-MM THK);351-2235;;CCR TU&EL;;;
7S-8767;2;1375;GASKET;346-0614;;CCR DESAR;;;
227-5538;1;1201;SEAL-O-RING;347-8300;;CCR DESAR;;;
234-8937;2;1201;SEAL-INTEGRAL;347-8300;;CCR DESAR;;;
5M-2894;8;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);347-8300;;CCR DESAR;;;
5P-8245;8;1201;WASHER-HARD (13.5X25.5X3-MM THK);347-8300;;CCR DESAR;;;
5P-8429;2;1201;SEAL-O-RING;347-8300;;CCR DESAR;;;
234-8937;1;1201;SEAL-INTEGRAL;353-4495;;CCR DESAR;;;
239-5571;1;1201;SEAL-INTEGRAL;353-4495;;CCR DESAR;;;
239-5572;1;1201;SEAL-INTEGRAL;353-4495;;CCR DESAR;;;
343-8888;1;1201;GASKET;353-4495;;CCR DESAR;;;
7C-0307;1;1201;GASKET;353-4495;;CCR DESAR;;;
5M-2894;15;1201;WASHER-HARD (10.2X18.5X2.5-MM THK);353-4495;;CCR DESAR;;;
239-1139;2;1151;SEAL;348-2533;;CCR DESAR;;;
125-9794;1;1151;SEAL-O-RING;348-2533;;CCR DESAR;;;
2M-1538;1;1151;STUD-TAPERLOCK (3/8-16X1.6-IN);348-2533;;CCR DESAR;;;
2P-1974;3;1151;STUD-TAPERLOCK (3/8-16X4.2-IN);348-2533;;CCR DESAR;;;
3K-3256;1;1151;STUD-TAPERLOCK (3/8-16X1.7-IN);348-2533;;CCR DESAR;;;
5M-2894;5;1151;WASHER-HARD (10.2X18.5X2.5-MM THK);348-2533;;CCR DESAR;;;
4W-3027;2;1107;BREATHER AS (CRANKCASE);348-1111;;CCR DESAR;;;
4W-3034;2;1107;CLAMP-HOSE;348-1111;;CCR DESAR;;;
212-7728;36;1107;ISOLATOR AS;348-1111;;CCR DESAR;;;
224-7506;6;1107;SEAL-VALVE COVER;348-1111;;CCR DESAR;;;
033-6031;2;1107;SEAL-O-RING;348-1111;;CCR DESAR;;;
5P-8211;2;1107;SEAL-O-RING;348-1111;;CCR DESAR;;;
8T-4224;36;1107;WASHER-HARD (8.8X16X2-MM THK);348-1111;;CCR DESAR;;;
5M-2894;8;1087;WASHER-HARD (10.2X18.5X2.5-MM THK);347-9461;;CCR DESAR;;;
281-0193;1;1316;HOSE;353-0196;;CCR DESAR;;;
324-9751;1;1316;CAP-OIL FILLER (ENGINE);353-0196;;CCR DESAR;;;
5P-0597;2;1316;CLAMP-HOSE;353-0196;;CCR DESAR;;;
5P-8211;1;1316;SEAL-O-RING;353-0196;;CCR DESAR;;;
8T-4896;2;1316;WASHER-HARD (10.2X18.5X2.5-MM THK);353-0196;;CCR DESAR;;;
9D-6196;1;1316;CLIP (SLOT);353-0196;;CCR DESAR;;;
9D-6197;1;1316;CLIP (TAB);353-0196;;CCR DESAR;;;
0L-1143;2;1306;BOLT (3/8-16X2.5-IN);357-0336;;CCR DESAR;;;
1R-1808;2;1306;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);349-9380;;CCR DESAR;;;
6V-5048;2;1306;SEAL-O-RING;349-9380;;CCR DESAR;;;
8C-3445;1;1306;CAP-DUST;349-9380;;CCR DESAR;;;
8C-3446;1;1306;VALVE-SAMPLING (ENGINE OIL);349-9380;;CCR DESAR;;;
2P-4304;2;1306;STUD-HOLLOW;397-1179;;CCR DESAR;;;
0S-1591;3;1261;BOLT (3/8-16X1.5-IN);350-1328;;CCR DESAR;;;
238-5080;1;1261;SEAL-O-RING;350-1328;;CCR DESAR;;;
238-5081;1;1261;SEAL-O-RING;350-1328;;CCR DESAR;;;
1R-0755;2;1262;FILTER-FUEL (ADVANCED EFFICIENCY);344-5583;;CCR DESAR;;;
275-1253;1;1262;SWITCH GP-PRESSURE (FUEL FILTER);344-5583;;CCR DESAR;;;
8N-3653;2;1262;STUD-TAPERLOCK;344-5583;;CCR DESAR;;;
214-7566;1;1262;SEAL-O-RING;344-5583;;CCR DESAR;;;
238-5080;1;1262;SEAL-O-RING;344-5583;;CCR DESAR;;;
214-7567;1;1262;SEAL-O-RING;344-5583;;CCR DESAR;;;
234-5013;1;1262;SENSOR GP-TEMPERATURE (FUEL);344-5583;;CCR DESAR;;;
325-8634;1;1262;SENSOR GP-PRESSURE (FUEL);344-5583;;CCR DESAR;;;
5P-8245;8;635;WASHER-HARD (13.5X25.5X3-MM THK);349-8849;;CCR DESAR;;;
5J-4715;24;635;WASHER (10.3X20.6X4.2-MM THK);349-8849;;CCR DESAR;;;
165-6170;3;1326;PLUG;347-4371;;CCR DESAR;;;
118-5068;1;1326;SEAL-O-RING;347-4371;;CCR DESAR;;;
228-7090;1;1326;SEAL-O-RING;347-4371;;CCR DESAR;;;
