Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;BXY_20R-4097_988;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
5L-3708;2;1901;Stud-Taperlock;243-1560;Control & Mtg GP-Engine Elek;CCR TU&EL;;;
4N-0699;1;1201;Gasket;107-6736;Cover GP-Cylinder Block;CCR DESARME;;;
126-4935;1;1201;Seal-Integral;140-9746;Cover GP-Cylinder Block;CCR DESARME;;;
061-9455;1;1151;Seal-O-Ring;120-9847;Cover GP-Front Housing;CCR DESARME;;;
297-1813;12;1151;Screw-Head;159-6159;Cover GP-Front Housing;CCR DESARME;;;
160-7271;1;1151;Seal;159-6159;Cover GP-Front Housing;CCR DESARME;;;
031-4155;2;1151;Locknut;159-6159;Cover GP-Front Housing;CCR DESARME;;;
238-5078;2;1151;Seal-O-Ring;159-6159;Cover GP-Front Housing;CCR DESARME;;;
241-3283;2;1052;Gasket;237-1964;Cover GP-Turbocharger;CCR TU&EL;;;
242-9537;2;1107;Seal-Valve Cover;150-3135;Cover GP-Valve Mechanism;CCR  DESARME;;;
243-1159;12;1107;Fastener AS;150-3135;Cover GP-Valve Mechanism;CCR  DESARME;;;
242-9537;1;1107;Seal-Valve Cover;341-6804;Cover GP-Valve Mechanism;CCR  DESARME;;;
243-1159;6;1107;Fastener AS;341-6804;Cover GP-Valve Mechanism;CCR  DESARME;;;
101-6596;1;1207;Hose AS;206-4227;Drive GP-Accessory;CCR  DESARME;;;
506-9239;1;1207;Bearing-Drive;206-4227;Drive GP-Accessory;CCR  DESARME;;;
144-6142;1;1207;Seal-Integral;206-4227;Drive GP-Accessory;CCR  DESARME;;;
214-7566;2;1207;Seal-O-Ring;206-4227;Drive GP-Accessory;CCR  DESARME;;;
3S-2093;2;1207;Strap-Cable;206-4227;Drive GP-Accessory;CCR  DESARME;;;
8C-5063;2;1207;Conduit-Flexible;206-4227;Drive GP-Accessory;CCR  DESARME;;;
8T-9527;1;1207;Seal-O-Ring;6I-3638;Drive GP-Pump;CCR  DESARME;;;
1B-3867;2;3108;Ball Bearing;133-9907;Adapter GP-Pump Drive;CCR  DESARME;;;
1H-8647;1;3108;Ring-Snap;133-9907;Adapter GP-Pump Drive;CCR  DESARME;;;
123-3202;6;1120;Strap-Cable;234-5005;Base GP-Valve Cover & Inj Harn;CCR  DESARME;;;
6V-0128;1;1120;Seal-Connector;234-5005;Base GP-Valve Cover & Inj Harn;CCR  DESARME;;;
7E-6508;6;1120;Cap AS;234-5005;Base GP-Valve Cover & Inj Harn;CCR  DESARME;;;
326-4512;6;1120;Mounting-Cable Tie;234-5005;Base GP-Valve Cover & Inj Harn;CCR  DESARME;;;
422-1761;1;1120;Harness AS-Engine;234-5005;Base GP-Valve Cover & Inj Harn;CCR  DESARME;;;
