Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;3TZ;100-8094;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
3B-8686;1;;1359;FITTING-GREASE (1/8-27 PTF);102-9792;DRIVE GP-FAN;CCR BBA
4P-8134;3;;1359;CLIP (LADDER);102-9792;DRIVE GP-FAN;CCR BBA
5M-2894;2;;1359;WASHER-HARD (10.2X18.5X2.5-MM THK);102-9792;DRIVE GP-FAN;CCR BBA
5P-8247;3;;1359;WASHER-HARD (17X32X3.5-MM THK);102-9792;DRIVE GP-FAN;CCR BBA
6U-1989;1;;1359;VALVE-RELIEF;102-9792;DRIVE GP-FAN;CCR BBA
102-9928;1;;1359;V-BELT SET (INCLUDES 6-BELTS)(FAN);102-9792;DRIVE GP-FAN;CCR BBA
1J-4034;1;;1359;SEAL-LIP TYPE;102-9792;DRIVE GP-FAN;CCR BBA
2M-0849;6;;1359;WASHER-HARD (13.5X25.5X5-MM THK);102-9792;DRIVE GP-FAN;CCR BBA
5F-3144;1;;1359;SEAL-O-RING;102-9792;DRIVE GP-FAN;CCR BBA
5T-4789;1;;1359;HOSE AS;102-9792;DRIVE GP-FAN;CCR BBA
6B-8865;1;;1359;KEY-WOODRUFF;102-9792;DRIVE GP-FAN;CCR BBA
6Y-7651;2;;1359;CONE-BEARING;102-9792;DRIVE GP-FAN;CCR BBA
6Y-7652;2;;1359;CUP-BEARING (TAPERED ROLLER);102-9792;DRIVE GP-FAN;CCR BBA
9X-6772;4;;1359;STRAP-CABLE;102-9792;DRIVE GP-FAN;CCR BBA
3B-8686;1;;1357;FITTING-GREASE (1/8-27 PTF);102-9793;BELT TENSIONER GP;CCR BBA
5P-8245;6;;1357;WASHER-HARD (13.5X25.5X3-MM THK);102-9793;BELT TENSIONER GP;CCR BBA
6U-1989;1;;1357;VALVE-RELIEF;102-9793;BELT TENSIONER GP;CCR BBA
2N-8374;1;;1357;GASKET;102-9793;BELT TENSIONER GP;CCR BBA
376-6589;2;;1357;SPRING;102-9793;BELT TENSIONER GP;CCR BBA
3B-4617;2;;1357;PIN-COTTER;102-9793;BELT TENSIONER GP;CCR BBA
3B-8153;2;;1357;PIN-CLEVIS;102-9793;BELT TENSIONER GP;CCR BBA
3V-3308;1;;1357;WASHER-HARD (10.2X20.5X2.5-MM THK);102-9793;BELT TENSIONER GP;CCR BBA
4D-1326;1;;1357;LOCKWASHER;102-9793;BELT TENSIONER GP;CCR BBA
4S-5367;1;;1357;BUSHING AS (MOUNT);102-9793;BELT TENSIONER GP;CCR BBA
5B-9318;1;;1357;BALL (4.8-MM DIA);102-9793;BELT TENSIONER GP;CCR BBA
5M-2057;1;;1357;SEAL-O-RING;102-9793;BELT TENSIONER GP;CCR BBA
5S-2106;1;;1357;SEAL-LIP TYPE;102-9793;BELT TENSIONER GP;CCR BBA
7M-9564;1;;1357;HOSE AS;102-9793;BELT TENSIONER GP;CCR BBA
8H-9789;2;;1357;BALL BEARING;102-9793;BELT TENSIONER GP;CCR BBA
5P-8245;3;;1803;WASHER-HARD (13.5X25.5X3-MM THK);117-0071;AIR COMPRESSOR GP;CCR BBA
129-3948;1;;1803;SEAL-INTEGRAL;117-0071;AIR COMPRESSOR GP;CCR BBA
5F-5434;1;;1803;VALVE AS-VENT (AIR COMPRESSOR);117-0071;AIR COMPRESSOR GP;CCR BBA
6L-1883;1;;1803;GASKET;117-0071;AIR COMPRESSOR GP;CCR BBA
9M-1974;2;;1803;WASHER-HARD (8.8X16X2-MM THK);117-0071;AIR COMPRESSOR GP;CCR BBA
101-6605;1;;5502;HOSE AS;119-6321;LINES GP-AIR COMPRESSOR;CCR BBA
152-1005;1;;5502;HOSE AS;119-6321;LINES GP-AIR COMPRESSOR;CCR BBA
485-9355;1;;5502;HOSE AS;119-6321;LINES GP-AIR COMPRESSOR;CCR BBA
7W-9834;1;;5502;VALVE-REGULATOR (COMPRESSOR);119-6321;LINES GP-AIR COMPRESSOR;CCR BBA
