Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;CCR WRH 3665513;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
7N-2156;2;;1304;Bushing;161-4113;Pump GP-Engine Oil;CCR BBA
8S-6511;2;;1304;Bushing;161-4113;Pump GP-Engine Oil;CCR BBA
2S-2760;1;;1304;Spring;161-4113;Pump GP-Engine Oil;CCR BBA
9M-3786;1;;1361;Seal-O-Ring;174-5986;Pump GP-Water;CCR BBA
122-3772;1;;1361;Seal-O-Ring;174-5986;Pump GP-Water;CCR BBA
109-0077;1;;1361;Seal-O-Ring;174-5986;Pump GP-Water;CCR BBA
108-7930;1;;1361;Bearing AS-Roller;352-0211;Pump GP-Water;CCR BBA
136-3742;1;;1361;Filter;352-0211;Pump GP-Water;CCR BBA
550-5420;1;;1361;Seal AS;352-0211;Pump GP-Water;CCR BBA
153-1256;1;;1361;Seal-Lip Type;352-0211;Pump GP-Water;CCR BBA
317-8766;7;;1202;Bearing-Main;189-4917;Crankshaft GP;CCR BLK
4N-0684;1;;1202;Dowel;189-4917;Crankshaft GP;CCR BLK
253-1752;2;;1202;Plate-Thrust;189-4917;Crankshaft GP;CCR BLK
9L-5854;6;;1201;Band-Filler;488-1677;Cylinder Block AS;CCR BLK
6I-1055;1;;1201;Dowel;261-0191;Cylinder Block GP;CCR BLK
4N-1650;1;;1201;Dowel;261-0191;Cylinder Block GP;CCR BLK
1S-9540;1;;1201;Dowel;261-0191;Cylinder Block GP;CCR BLK
227-1204;1;;1201;Gasket;261-0191;Cylinder Block GP;CCR BLK
100-7399;2;;1201;Plug;261-0191;Cylinder Block GP;CCR BLK
142-2329;1;;1201;Seal;261-0191;Cylinder Block GP;CCR BLK
230-3728;2;;1201;Seal-O-Ring;261-0191;Cylinder Block GP;CCR BLK
5P-0840;1;;1201;Seal-O-Ring;261-0191;Cylinder Block GP;CCR BLK
261-3450;6;;1225;Bearing-Connecting Rod;368-7820;Piston & Rod GP;CCR BLK
6V-6609;1;;1201;Seal-O-Ring;234-9706;Plug GP-Cylinder Block;CCR BLK
214-7566;1;;1201;Seal-O-Ring;234-9706;Plug GP-Cylinder Block;CCR BLK
238-5080;1;;1201;Seal-O-Ring;234-9706;Plug GP-Cylinder Block;CCR BLK
6V-6609;2;;1201;Seal-O-Ring;247-8211;Plug GP-Cylinder Block;CCR BLK
214-7566;1;;1201;Seal-O-Ring;247-8211;Plug GP-Cylinder Block;CCR BLK
238-5080;5;;1201;Seal-O-Ring;247-8211;Plug GP-Cylinder Block;CCR BLK
238-5081;1;;1201;Seal-O-Ring;247-8211;Plug GP-Cylinder Block;CCR BLK
