Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;2712219;;;;CCR Motor;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
232-1693;1;;7620;BOLT-FLANGE HEAD (M6X1X35-MM);243-1554;;CCR TU&EL
8T-9655;8;;7620;MOUNT-ISOLATION;243-1554;;CCR TU&EL
204-8000;3;;1151;MOUNTING-CABLE TIE;307-9387;;CCR DESAR
239-1139;2;;1151;SEAL;307-9387;;CCR DESAR
125-9794;1;;1151;SEAL-O-RING;307-9387;;CCR DESAR
2M-1538;1;;1151;STUD-TAPERLOCK (3/8-16X1.6-IN);307-9387;;CCR DESAR
2P-1974;3;;1151;STUD-TAPERLOCK (3/8-16X4.2-IN);307-9387;;CCR DESAR
3K-3256;1;;1151;STUD-TAPERLOCK (3/8-16X1.7-IN);307-9387;;CCR DESAR
4P-7429;1;;1151;CLIP;307-9387;;CCR DESAR
343-8888;1;;1201;GASKET;235-7135;;CCR DESAR
239-5571;1;;1201;SEAL-INTEGRAL;235-7135;;CCR DESAR
6V-5553;2;;1157;SEAL-O-RING;293-4440;;CCR DESAR
9Y-6089;1;;1157;GASKET;293-4440;;CCR DESAR
227-5538;1;;1157;SEAL-O-RING;293-4440;;CCR DESAR
234-8937;2;;1157;SEAL-INTEGRAL;293-4440;;CCR DESAR
4P-7429;1;;1157;CLIP;293-4440;;CCR DESAR
2N-8109;2;;1107;CLAMP;445-1221;;CCR DESAR
4N-4668;2;;1107;BREATHER AS (CRANKCASE);445-1221;;CCR DESAR
449-9059;6;;1107;SEAL;445-1221;;CCR DESAR
061-9457;2;;1107;SEAL-O-RING;445-1221;;CCR DESAR
6V-3831;2;;1107;SEAL-O-RING;445-1221;;CCR DESAR
7E-6508;12;;1120;CAP AS (UNIT INJECTOR);223-6408;;CCR DESAR
6V-0128;2;;1120;SEAL-CONNECTOR;226-4927;;CCR DESAR
326-4512;12;;1120;MOUNTING-CABLE TIE;226-4927;;CCR DESAR
8T-8737;6;;1120;PLUG-SEAL;226-4927;;CCR DESAR
123-3202;6;;1120;STRAP-CABLE;226-4927;;CCR DESAR
222-6456;2;;1120;SEAL (VALVE COVER BASE);226-4927;;CCR DESAR
253-1752;2;;1202;PLATE-THRUST;225-6052;;CCR BLK
142-5867;1;;1160;SEAL-CRANKSHAFT (FRONT);319-7401;;CCR BLK
354-8484;2;;1201;GASKET-PLATE;349-2528;;CCR DESAR
5P-8356;4;;1201;SEAL-O-RING;349-2528;;CCR DESAR
238-5082;2;;1201;SEAL-O-RING;349-2528;;CCR BLK
214-1728;1;;1201;STUD (3/8-16, 1/8-27X3.5-IN);349-2528;;CCR BLK
6L-4428;3;;1201;STUD-TAPERLOCK (3/8-16X4.01-IN);349-2528;;CCR BLK
214-7566;1;;1201;SEAL-O-RING;349-2528;;CCR BLK
3B-0645;1;;1201;PLUG-CUP (32.08-MM OD);349-2528;;CCR BLK
225-5966;1;;1201;SLEEVE;348-9904;;CCR DESAR
6V-6609;2;;1201;SEAL-O-RING;348-9904;;CCR BLK
4N-0685;1;;1201;BUSHING (1-IN WIDE);348-9904;;CCR DESAR
4N-6658;1;;1201;BUSHING (1.3-IN WIDE);348-9904;;CCR DESAR
359-1439;48;;1100;SEAL AS-WATER;369-4607;;CCR DESAR
106-1792;24;;1100;STUD-TAPERLOCK (3/8-16X4-IN);369-4607;;CCR DESAR
225-3099;2;;1100;GASKET-CYLINDER HEAD;369-4607;;CCR DESAR
445-8643;1;;1100;PANEL;369-4607;;CCR DESAR
214-7568;10;;1100;SEAL-O-RING;369-4607;;CCR CLT
6N-0977;1;;1162;BUSHING;355-2287;;CCR DESAR
3G-2292;5;;1162;BOLT-LOCKING (3/8-16X0.87-IN);355-2287;;CCR DESAR
4N-0342;1;;1162;PLATE;355-2287;;CCR DESAR
4H-1641;1;;1162;PIN-SPRING;355-2287;;CCR DESAR
6N-1027;1;;1162;PLATE-THRUST;355-2287;;CCR DESAR
112-9217;1;;1162;PLATE-THRUST;355-2287;;CCR DESAR
4N-0684;2;;1162;DOWEL;355-2287;;CCR DESAR
1B-8705;2;;1162;KEY-WOODRUFF;355-2287;;CCR DESAR
131-7123;1;;1162;BUSHING;355-2287;;CCR DESAR
031-5085;6;;1162;BOLT-LOCKING (1/4-20X1-IN);355-2287;;CCR DESAR
117-8801;2;;1162;SEAL-O-RING;355-2287;;CCR DESAR
5E-8771;2;;1162;SEAL-O-RING;355-2287;;CCR DESAR
161-7293;1;;1166;GASKET-CYLINDER;350-8861;;CCR DESAR
316-9154;1;;1166;HOSE AS;350-8861;;CCR DESAR
061-8639;1;;1166;SEAL-O-RING;350-8861;;CCR DESAR
6V-5048;3;;1166;SEAL-O-RING;350-8861;;CCR DESAR
4C-9612;1;;1166;SEALANT-SILICONE;350-8861;;CCR DESAR
1S-4295;2;;1052;GASKET (TURBOCHARGER);217-6570;;CCR TU&EL
2N-2765;6;;1052;BOLT-HIGH TEMPERATURE (3/8-16X1.75-IN);217-6570;;CCR TU&EL
114-9223;2;;1052;SPACER (11.13X19.05X19-MM THK);217-6570;;CCR TU&EL
2N-2766;8;;1052;LOCKNUT (3/8-16-THD);217-6570;;CCR TU&EL
5P-8134;11;;1059;CAP-PROTECTIVE;249-8533;;CCR DESAR
324-9751;1;;1316;CAP-OIL FILLER (ENGINE);281-0202;;CCR DESAR
281-0193;1;;1316;HOSE;281-0202;;CCR DESAR
5P-0597;2;;1316;CLAMP-HOSE;281-0202;;CCR DESAR
5P-8211;1;;1316;SEAL-O-RING;281-0202;;CCR DESAR
6V-0852;1;;1306;CAP-DUST;216-0819;;CCR DESAR
8C-3445;1;;1306;CAP-DUST;216-0819;;CCR DESAR
8N-6739;2;;1306;RING-RETAINING;216-0819;;CCR DESAR
114-3824;1;;1306;GASKET;216-0819;;CCR DESAR
114-9223;1;;1306;SPACER (11.13X19.05X19-MM THK);216-0819;;CCR DESAR
2W-8225;2;;1306;STUD-TAPERLOCK;216-0819;;CCR DESAR
061-7540;1;;1306;SEAL-O-RING;216-0819;;CCR DESAR
244-4484;2;;1306;FILTER-ENGINE OIL (ULTRA HIGH EFFICIENCY);216-0819;;CCR DESAR
6V-3830;2;;1306;SEAL-O-RING;216-0819;;CCR DESAR
6V-4589;1;;1306;SEAL-O-RING;216-0819;;CCR DESAR
6V-5048;2;;1306;SEAL-O-RING;216-0819;;CCR DESAR
6V-5049;2;;1306;SEAL-O-RING;216-0819;;CCR DESAR
8C-3446;1;;1306;VALVE-SAMPLING (OIL);216-0819;;CCR DESAR
8C-5230;1;;1306;SEAL-O-RING;216-0819;;CCR DESAR
3S-2093;6;;1261;STRAP-CABLE;279-5730;;CCR DESAR
264-4297;1;;1261;SENSOR AS-TEMPERATURE (2-PIN)(FUEL);279-5730;;CCR DESAR
