Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ceRAB;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
8T-9655;8;;7620;MOUNT-ISOLATION;460-1194;CONTROL & MTG GP-ENGINE ELEK;CCR TU&EL
239-5571;1;;1150;SEAL-INTEGRAL;343-4347;COVER GP-ENGINE;CCR DESAR
234-8937;1;;1150;SEAL-INTEGRAL;343-4347;COVER GP-ENGINE;CCR DESAR
239-5572;1;;1150;SEAL-INTEGRAL;343-4347;COVER GP-ENGINE;CCR DESAR
239-1139;2;;1151;SEAL;348-2533;COVER GP-FRONT HOUSING;CCR DESAR
125-9794;1;;1151;SEAL-O-RING;348-2533;COVER GP-FRONT HOUSING;CCR DESAR
2M-1538;1;;1151;STUD-TAPERLOCK (3/8-16X1.6-IN);348-2533;COVER GP-FRONT HOUSING;CCR DESAR
2P-1974;3;;1151;STUD-TAPERLOCK (3/8-16X4.2-IN);348-2533;COVER GP-FRONT HOUSING;CCR DESAR
3K-3256;1;;1151;STUD-TAPERLOCK (3/8-16X1.7-IN);348-2533;COVER GP-FRONT HOUSING;CCR DESAR
6V-5553;2;;1157;SEAL-O-RING;417-8579;COVER GP-REAR HOUSING;CCR DESAR
9Y-6089;1;;1157;GASKET;417-8579;COVER GP-REAR HOUSING;CCR DESAR
227-5538;1;;1157;SEAL-O-RING;417-8579;COVER GP-REAR HOUSING;CCR DESAR
234-8937;2;;1157;SEAL-INTEGRAL;417-8579;COVER GP-REAR HOUSING;CCR DESAR
4P-7429;1;;1157;CLIP (LADDER);417-8579;COVER GP-REAR HOUSING;CCR DESAR
453-5531;1;;1801;PANEL AS-SOUND SUPPRESSION (LH);356-4833;COVER GP-SOUND SUPPRESSION;CCR DESAR
453-5532;1;;1801;PANEL AS-SOUND SUPPRESSION (RH);356-4833;COVER GP-SOUND SUPPRESSION;CCR DESAR
4W-3027;2;;1107;BREATHER AS (CRANKCASE);444-1950;COVER GP-VALVE MECHANISM;CCR DESAR
4W-3034;2;;1107;CLAMP-HOSE;444-1950;COVER GP-VALVE MECHANISM;CCR DESAR
449-9059;6;;1107;SEAL;444-1950;COVER GP-VALVE MECHANISM;CCR DESAR
033-6031;2;;1107;SEAL-O-RING;444-1950;COVER GP-VALVE MECHANISM;CCR DESAR
5P-8211;2;;1107;SEAL-O-RING;444-1950;COVER GP-VALVE MECHANISM;CCR DESAR
281-0193;1;;1316;HOSE;353-0196;FILLER GP-ENGINE OIL;CCR DESAR
