Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ce7PZ;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
107-3758;2;;1063;SEAL (AFTERCOOLER);172-0209;AFTERCOOLER GP-WATER;CCR EN&CA
6V-9027;1;;1063;SEAL-O-RING;172-0209;AFTERCOOLER GP-WATER;CCR EN&CA
100-3725;1;;1405;BELT-SERPENTINE;526-0627;ALTERNATOR GP-CHARGING;CCR TU&EL
2K-7471;1;;1405;LOCKNUT (1-14-THD);526-0627;ALTERNATOR GP-CHARGING;CCR DISTR
5M-2894;4;;1405;WASHER-HARD (10.2X18.5X2.5-MM THK);526-0627;ALTERNATOR GP-CHARGING;CCR DISTR
5P-8245;3;;1405;WASHER-HARD (13.5X25.5X3-MM THK);526-0627;ALTERNATOR GP-CHARGING;CCR DISTR
5P-8247;3;;1405;WASHER-HARD (17X32X3.5-MM THK);526-0627;ALTERNATOR GP-CHARGING;CCR DISTR
101-1365;1;;1220;PLATE-THRUST;379-4831;BALANCER GP -FRONT;CCR DISTR
7N-6983;1;;1220;BUSHING;379-4831;BALANCER GP -FRONT;CCR DISTR
4W-3027;2;;1317;BREATHER AS (CRANKCASE);448-0420;BREATHER GP -CRANKCASE;CCR M&B
4W-3034;2;;1317;CLAMP-HOSE;448-0420;BREATHER GP -CRANKCASE;CCR M&B
033-6031;2;;1317;SEAL-O-RING;448-0420;BREATHER GP -CRANKCASE;CCR M&B
7N-3218;2;;1210;WASHER-THRUST;106-4582;CAMSHAFT GP;CCR BLK
7C-8236;1;;1802;V-BELT (REFRIGERANT COMPRESSOR);141-7105;COMPRESSOR GP-REFRIGERANT;CCR DISTR
7E-6016;2;;1380;GASKET;127-4451;CONNECTION GP-WATER;CCR EN&CA
7N-3368;1;;1380;GASKET;127-4451;CONNECTION GP-WATER;CCR EN&CA
8N-8089;1;;1380;GASKET;127-4451;CONNECTION GP-WATER;CCR EN&CA
8T-9655;8;;1901;MOUNT-ISOLATION (ISOLATION);175-5213;CONTROL & MTG GP-ENGINE ELEK;CCR EN&CA
9M-1974;2;;1901;WASHER-HARD (8.8X16X2-MM THK);175-5213;CONTROL & MTG GP-ENGINE ELEK;CCR EN&CA
9N-0869;4;;1901;WASHER-HARD (8.8X25.5X2-MM THK);175-5213;CONTROL & MTG GP-ENGINE ELEK;CCR EN&CA
8N-9885;1;;1901;GASKET-COVER;175-5213;CONTROL & MTG GP-ENGINE ELEK;CCR EN&CA
247-3796;2;;1378;GASKET;378-7400;COOLER GP-ENGINE OIL;CCR EN&CA
