Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;Cart GEB,246-562;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
8T-9655;8;1901;Mount-Isolation;243-1554;Control & Mtg GP-Engine Elek;CCR TU&EL;;;
232-1693;1;1901;Bolt-Flange Head;243-1554;Control & Mtg GP-Engine Elek;CCR TU&EL;;;
239-1139;2;1151;Seal;235-4102;Cover GP-Front Housing;CCR DESARME;;;
125-9794;1;1151;Seal-O-Ring;235-4102;Cover GP-Front Housing;CCR DESARME;;;
2M-1538;1;1151;Stud-Taperlock;235-4102;Cover GP-Front Housing;CCR DESARME;;;
2P-1974;3;1151;Stud-Taperlock;235-4102;Cover GP-Front Housing;CCR DESARME;;;
3K-3256;1;1151;Stud-Taperlock;235-4102;Cover GP-Front Housing;CCR DESARME;;;
5M-2894;40;1151;Washer-Hard;235-4102;Cover GP-Front Housing;CCR DESARME;;;
9Y-6089;1;1157;Gasket;278-9837;Cover GP-Rear Housing;CCR DESARME;;;
227-5538;1;1157;Seal-O-Ring;278-9837;Cover GP-Rear Housing;CCR DESARME;;;
234-8937;1;1157;Seal-Integral;278-9837;Cover GP-Rear Housing;CCR DESARME;;;
5M-2894;6;1157;Washer-Hard;278-9837;Cover GP-Rear Housing;CCR DESARME;;;
4W-3034;2;1107;Clamp-Hose;293-7634;Cover GP-Valve Mechanism;CCR DESARME;;;
212-7728;36;1107;Isolator AS;293-7634;Cover GP-Valve Mechanism;CCR DESARME;;;
224-7506;6;1107;Seal-Valve Cover;293-7634;Cover GP-Valve Mechanism;CCR DESARME;;;
4W-3027;2;1107;Breather AS;293-7634;Cover GP-Valve Mechanism;CCR DESARME;;;
033-6031;2;1107;Seal-O-Ring;293-7634;Cover GP-Valve Mechanism;CCR DESARME;;;
5P-8211;2;1107;Seal-O-Ring;293-7634;Cover GP-Valve Mechanism;CCR DESARME;;;
8T-4224;32;1107;Washer-Hard;293-7634;Cover GP-Valve Mechanism;CCR DESARME;;;
449-9059;6;1107;Seal;445-1222;Cover GP-Valve Mechanism;CCR DESARME;;;
