Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;9SD - 3847799;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
10R-9789;1;;1405;ALTERNATOR GP -B;197-8820;;CCR
1A-2170;1;;1306;SPRING-RETAINER;474-4618;;CCR
7C-3083;1;;1306;SEAT-RELIEF VALVE SPRING;474-4618;;CCR
7C-3954;1;;1306;SPRING AS;474-4618;;CCR
2N-6005;1;;1306;SPRING;474-4618;;CCR
214-7568;1;;1306;SEAL-O-RING;474-4618;;CCR
238-5084;1;;1306;SEAL-O-RING;474-4618;;CCR
392-9208;1;;1306;PLUNGER-VALVE (RELIEF);474-4618;;CCR
4N-8150;1;;1306;SPRING;474-4618;;CCR
336-2216;1;;1306;GASKET-FILTER BASE;342-6070;;CCR
113-5304;2;;1306;SEAL-O-RING;342-6070;;CCR
134-5245;6;;1306;BOLT (M10X1.5X30-MM);342-6070;;CCR
228-7093;1;;1306;SEAL-O-RING;342-6070;;CCR
238-5084;1;;1306;SEAL-O-RING;342-6070;;CCR
228-7094;1;;1306;SEAL-O-RING;342-6070;;CCR
228-7096;1;;1306;SEAL-O-RING;342-6070;;CCR
6V-5839;6;;1306;WASHER (11X21X2.5-MM THK);342-6070;;CCR
214-7568;1;;1306;SEAL-O-RING;342-6070;;CCR
9Y-1758;1;;1317;GASKET (CRANKCASE BREATHER);267-0007;;CCR
9Y-4357;1;;1317;BREATHER AS (CRANKCASE);267-0007;;CCR
9X-8267;4;;1317;WASHER (6.6X12X2-MM THK);267-0007;;CCR
9X-2098;2;;1902;STUD-TAPERLOCK (M8X1.25X45-MM);382-3716;;CCR
8T-9655;8;;1902;MOUNT-ISOLATION;382-3716;;CCR
9M-1974;1;;1902;WASHER-HARD (8.8X16X2-MM THK);382-3716;;CCR
9N-0869;4;;1902;WASHER-HARD (8.8X25.5X2-MM THK);382-3716;;CCR
9Y-6089;1;;1157;GASKET;127-5728;;CCR
6V-5839;2;;1151;WASHER (11X21X2.5-MM THK);113-8987;;CCR
107-5769;1;;1151;SEAL-O-RING;113-8987;;CCR
117-8801;1;;1151;SEAL-O-RING;227-2574;;CCR
5P-8245;3;;1151;WASHER-HARD (13.5X25.5X3-MM THK);227-2574;;CCR
212-7728;10;;1107;ISOLATOR AS;355-7194;;CCR
229-5711;1;;1107;SEAL-VALVE COVER;355-7194;;CCR
344-7562;1;;1107;COVER-VALVE;355-7194;;CCR
8T-4224;10;;1107;WASHER-HARD (8.8X16X2-MM THK);355-7194;;CCR
9X-2027;8;;1205;WASHER (11X18X2-MM THK);117-2766;;CCR
4W-1203;2;;1359;CUP-BEARING;387-1764;;CCR
4W-1204;2;;1359;CONE-BEARING;387-1764;;CCR
6V-9748;1;;1359;SEAL-LIP TYPE;387-1764;;CCR
386-4050;1;;1359;HOSE AS;387-1764;;CCR
3B-8489;1;;1359;FITTING-GREASE (1/8-27 PTF);387-1764;;CCR
5P-7970;1;;1359;NUT (M8X1.25-THD);387-1764;;CCR
5P-8245;11;;1359;WASHER-HARD (13.5X25.5X3-MM THK);387-1764;;CCR
6H-3956;1;;1359;PIN;387-1764;;CCR
6V-8149;2;;1359;NUT (M12X1.75-THD);387-1764;;CCR
321-5639;1;;1120;SEAL;365-1208;;CCR
9M-1974;2;;1120;WASHER-HARD (8.8X16X2-MM THK);365-1208;;CCR
1B-8705;2;;1210;KEY-WOODRUFF;223-7463;;CCR
223-7471;2;;1210;PLATE-THRUST;223-7463;;CCR
131-3718;2;;1210;SEAL-O-RING;223-7463;;CCR
9M-1974;8;;1210;WASHER-HARD (8.8X16X2-MM THK);223-7463;;CCR
246-3144;2;;1202;PLATE-THRUST;224-3882;;CCR
9Y-0810;1;;1202;SLEEVE-WEAR (REAR SEAL);224-3882;;CCR
9Y-0821;1;;1202;SLEEVE (FRONT SEAL);224-3882;;CCR
187-8969;7;;1201;BEARING;303-1383;;CCR
4F-5695;5;;1201;PLUG-CUP;303-1384;;CCR
437-1409;6;;1201;SEAL-LINER;303-1384;;CCR
3B-0623;3;;1201;PLUG-CUP;240-7271;;CCR
214-7566;1;;1201;SEAL-O-RING;240-7271;;CCR
6V-3538;2;;1201;DOWEL;240-7271;;CCR
7N-5683;6;;1201;DOWEL;240-7271;;CCR
242-1811;26;;1100;BOLT-CYLINDER HEAD (M16X2X220-MM);198-4963;;CCR
210-4460;8;;1100;BOLT (M10X1.5X130-MM);198-4963;;CCR
2A-4429;48;;1100;LOCK-RETAINER;486-6227;;CCR
7C-8581;24;;1100;ROTOCOIL AS;486-6227;;CCR
163-2478;24;;1100;SEAL-VALVE STEM;486-6227;;CCR
224-4441;24;;1100;SPRING (VALVE);486-6227;;CCR
252-7802;12;;1100;VALVE-INLET;486-6227;;CCR
6V-5063;1;;1100;SEAL-O-RING;486-6227;;CCR
394-4400;12;;1100;VALVE-EXHAUST;486-6227;;CCR
332-2152;24;;1100;SPRING-VALVE;486-6227;;CCR
5P-5598;1;;1100;SEAL-O-RING;486-6227;;CCR
7C-7852;1;;1204;BEARING;222-3088;;CCR
133-7084;1;;1204;BUSHING;222-3088;;CCR
221-9392;1;;1100;GASKET;486-6230;;CCR
346-4897;1;;1304;SEAL-O-RING;233-5221;;CCR
3E-6788;1;;1304;SEAL-O-RING;233-5221;;CCR
5P-8068;2;;1304;SEAL-O-RING;233-5221;;CCR
6V-3834;1;;1304;SEAL-O-RING;233-5221;;CCR
6V-5134;3;;1304;SEAL-O-RING;233-5221;;CCR
8J-4351;1;;1304;SEAL-O-RING;233-5221;;CCR
9M-1974;8;;1304;WASHER-HARD (8.8X16X2-MM THK);233-5221;;CCR
10R-3147;6;;1290;INJECTOR GP-FUEL;249-0712;;CCR
8T-0644;6;;1290;BOLT (M10X1.5X90-MM);253-1459;;CCR
229-8810;1;;1361;SEAL;352-0206;;CCR
225-7003;1;;1361;SEAL-O-RING;352-0206;;CCR
6V-3251;1;;1361;SEAL-O-RING;352-0206;;CCR
6V-5839;2;;1361;WASHER (11X21X2.5-MM THK);228-5812;;CCR
6V-7350;1;;1361;SEAL-O-RING;228-5812;;CCR
3S-2093;3;;1718;STRAP-CABLE;381-1729;;CCR
7K-1181;2;;1718;STRAP-CABLE;381-1729;;CCR
125-5835;1;;1718;PLUG-FELT;381-1729;;CCR
178-1781;1;;1718;CLIP;381-1729;;CCR
214-7568;2;;1718;SEAL-O-RING;381-1729;;CCR
234-5012;1;;1718;SENSOR GP-TEMPERATURE (COOLANT);381-1729;;CCR
234-5013;1;;1718;SENSOR GP-TEMPERATURE (AIR INLET);381-1729;;CCR
249-0096;1;;1718;SENSOR GP-PRESSURE (AIR INLET);381-1729;;CCR
274-6719;1;;1718;SENSOR GP-PRESSURE (OIL PRESSURE);381-1729;;CCR
300-9806;1;;1718;SENSOR GP-SPEED (ENGINE SPEED);381-1729;;CCR
305-6873;1;;1718;SENSOR GP-PRESSURE (ATMOSPHERIC PRESSURE);381-1729;;CCR
214-7566;4;;1718;SEAL-O-RING;381-1729;;CCR
384-1836;1;;1718;SENSOR GP-SPEED (CRANKSHAFT);381-1729;;CCR
387-1994;1;;1718;SENSOR GP-SPEED (CRANKSHAFT);381-1729;;CCR
132-5789;2;;1718;CLIP (LADDER);381-1729;;CCR
9M-8406;1;;1718;CLIP (LOOP);381-1729;;CCR
8T-4121;1;;1718;WASHER-HARD (11X21X2.5-MM THK);381-1729;;CCR
9M-1974;5;;1718;WASHER-HARD (8.8X16X2-MM THK);381-1729;;CCR
9X-6165;1;;1718;WASHER (6.5X22X2.5-MM THK);381-1729;;CCR
0L-1026;2;;1209;PLUG-CUP;237-4376;;CCR
5L-4763;1;;1209;PIN-SPRING;237-4376;;CCR
258-8721;6;;1123;BUTTON;260-0251;;CCR
274-4490;6;;1123;SCREW-ADJUSTMENT;260-0251;;CCR
8L-2777;6;;1123;SEAL-O-RING;260-0251;;CCR
260-7524;6;;1123;SCREW-VALVE ADJUSTMENT (M10X1.5-THD);385-4639;;CCR
2Y-5829;6;;1123;NUT (M10X1.5-THD);385-4639;;CCR
5P-8247;8;;1156;WASHER-HARD (17X32X3.5-MM THK);117-2794;;CCR
9X-2021;8;;1156;BOLT-LOCKING (M16X2X45-MM);117-2794;;CCR
241-5645;1;;1316;CAP AS-ENGINE OIL FILLER;385-1448;;CCR
061-9455;4;;1316;SEAL-O-RING;385-1448;;CCR
9M-1974;8;;1316;WASHER-HARD (8.8X16X2-MM THK);385-1448;;CCR
3B-1915;16;;1156;BOLT (3/8-16X1.375-IN);145-1341;;CCR
5M-2894;16;;1156;WASHER-HARD (10.2X18.5X2.5-MM THK);145-1341;;CCR
384-9951;1;;1317;HOSE;383-2567;;CCR
2S-2053;2;;1317;CLIP (LOOP);383-2567;;CCR
8T-4121;3;;1317;WASHER-HARD (11X21X2.5-MM THK);383-2567;;CCR
8T-4196;1;;1317;BOLT (M10X1.5X35-MM);383-2567;;CCR
9M-2904;1;;1317;CLAMP-HOSE;383-2567;;CCR
209-7309;3;;1326;PLUG;319-5273;;CCR
319-5274;1;;1326;GAUGE AS-OIL LEVEL (DIPSTICK);319-5273;;CCR
3E-4352;1;;1326;WASHER-HARD (8.8X20.5X2.5-MM THK);319-5273;;CCR
228-4947;1;;1326;SEAL-O-RING;319-5273;;CCR
061-9455;1;;1157;SEAL-O-RING;180-6666;;CCR
238-5080;1;;1157;SEAL-O-RING;180-6666;;CCR
238-5084;1;;1157;SEAL-O-RING;180-6666;;CCR
214-7567;1;;1157;SEAL-O-RING;180-6666;;CCR
5D-9344;1;;1157;SEAL-O-RING;180-6666;;CCR
9M-1974;2;;1157;WASHER-HARD (8.8X16X2-MM THK);180-6666;;CCR
5P-6727;1;;1151;BALL BEARING;387-1995;;CCR
8H-9789;1;;1151;BALL BEARING;387-1995;;CCR
9M-1974;30;;1151;WASHER-HARD (8.8X16X2-MM THK);387-1995;;CCR
9X-8267;5;;1151;WASHER (6.6X12X2-MM THK);387-1995;;CCR
257-2015;1;;1151;GASKET;387-1995;;CCR
223-7852;1;;1151;SEAL-INTEGRAL;387-1995;;CCR
226-4755;1;;1151;SEAL GP-CRANKSHAFT (FRONT);387-1995;;CCR
169-4166;1;;1151;SEAL GP-CRANKSHAFT (FRONT);387-1995;;CCR
220-3373;1;;1151;SEAL-RING;387-1995;;CCR
6V-3535;2;;1151;DOWEL;387-1995;;CCR
117-8801;1;;1151;SEAL-O-RING;387-1995;;CCR
3E-8016;1;;1151;BOLT-SELF-LOCKING (M8X1.25X25-MM);387-1995;;CCR
5P-8245;8;;1122;WASHER-HARD (13.5X25.5X3-MM THK);224-0880;;CCR
248-4840;1;;1071;CAP-PROTECTIVE;419-7647;;CCR
248-4841;1;;1071;CLAMP-BAND;419-7647;;CCR
214-7566;1;;1071;SEAL-O-RING;419-7647;;CCR
6V-0852;1;;1274;CAP-DUST;108-2312;;CCR
214-7568;1;;1274;SEAL-O-RING;108-2312;;CCR
6V-3965;1;;1274;FITTING (QUICK DISCONNECT);108-2312;;CCR
214-7568;4;;1274;SEAL-O-RING;418-6324;;CCR
228-7089;2;;1274;SEAL-O-RING;418-6324;;CCR
238-5080;4;;1274;SEAL-O-RING;418-6324;;CCR
228-7090;5;;1274;SEAL-O-RING;418-6324;;CCR
238-5081;3;;1274;SEAL-O-RING;418-6324;;CCR
418-3723;1;;1274;HOSE AS;418-6324;;CCR
432-2277;1;;1274;HOSE AS;418-6324;;CCR
432-2278;1;;1274;HOSE AS;418-6324;;CCR
418-6327;1;;1274;HOSE &amp;;;
418-6328;1;;1274;HOSE &amp;;;
228-7091;3;;1274;SEAL-O-RING;418-6324;;CCR
353-7954;1;;1274;GROMMET (16-MM ID);418-6324;;CCR
3E-4352;1;;1274;WASHER-HARD (8.8X20.5X2.5-MM THK);418-6324;;CCR
4P-7233;2;;1274;GROMMET;418-6324;;CCR
353-7953;1;;1274;GROMMET (19-MM ID);418-6324;;CCR
6V-5839;5;;1274;WASHER (11X21X2.5-MM THK);418-6324;;CCR
9M-1974;1;;1274;WASHER-HARD (8.8X16X2-MM THK);418-6324;;CCR
353-7952;2;;1274;GROMMET;418-6324;;CCR
5P-4116;2;;1274;WASHER-HARD (8.8X20.5X2-MM THK);418-6324;;CCR
197-8418;1;;1052;GASKET;386-3800;;CCR
224-8171;1;;1052;HOSE AS;386-3800;;CCR
197-8419;1;;1052;GASKET (TURBOCHARGER);386-3800;;CCR
225-6948;1;;1052;SEAL-O-RING;386-3800;;CCR
214-7568;1;;1052;SEAL-O-RING;386-3800;;CCR
228-7090;1;;1052;SEAL-O-RING;386-3800;;CCR
9M-1974;6;;1052;WASHER-HARD (8.8X16X2-MM THK);386-3800;;CCR
180-8424;4;;1380;SEAL-O-RING;386-3801;;CCR
386-3799;1;;1380;HOSE AS-WATER;386-3801;;CCR
6V-3251;1;;1380;SEAL-O-RING;386-3801;;CCR
8T-1888;1;;1380;CLIP (TAB);386-3801;;CCR
388-4731;1;;1380;HOSE &amp;;;
4P-7233;1;;1380;GROMMET;386-3801;;CCR
6V-5839;2;;1380;WASHER (11X21X2.5-MM THK);386-3801;;CCR
8T-1887;1;;1380;CLIP (SLOT);386-3801;;CCR
6V-3251;1;;1393;SEAL-O-RING;236-5900;;CCR
9S-8006;1;;1393;PLUG (7/8-14-THD);236-5900;;CCR
6V-5063;1;;1393;SEAL-O-RING;236-5900;;CCR
9S-8008;1;;1393;PLUG (1-1/16-12-THD);236-5900;;CCR
238-5084;1;;1393;SEAL-O-RING;236-5900;;CCR
9S-9334;1;;1393;PLUG (1-5/16-12-THD);236-5900;;CCR
9M-1974;3;;1393;WASHER-HARD (8.8X16X2-MM THK);236-5900;;CCR
6V-3250;1;;1393;SEAL-O-RING;343-8818;;CCR
9S-8004;1;;1393;PLUG (9/16-18-THD);343-8818;;CCR
6V-3250;1;;1393;SEAL-O-RING;352-1650;;CCR
9S-8004;1;;1393;PLUG (9/16-18-THD);352-1650;;CCR
131-6645;1;;1378;HOSE;385-8777;;CCR
213-9396;1;;1378;SEAL-O-RING;385-8777;;CCR
224-2675;1;;1378;SEAL;385-8777;;CCR
6V-9027;1;;1378;SEAL-O-RING;385-8777;;CCR
335-9214;2;;1378;CLAMP-BAND;385-8777;;CCR
9M-1974;3;;1378;WASHER-HARD (8.8X16X2-MM THK);385-8777;;CCR
20R-1861;1;;1378;CORE AS-OCLR;385-8777;;CCR
2S-0795;2;;1375;GASKET;385-8784;;CCR
210-4460;2;;1375;BOLT (M10X1.5X130-MM);385-8784;;CCR
117-3036;1;;1375;SEAL-O-RING;385-8784;;CCR
2N-5243;2;;1375;SEAL-O-RING;385-8784;;CCR
6V-5064;1;;1375;SEAL-O-RING;385-8784;;CCR
5P-8245;7;;1375;WASHER-HARD (13.5X25.5X3-MM THK);385-8784;;CCR
6F-7062;1;;1375;WASHER (12.7X19.05X1.83-MM THK);385-8784;;CCR
6V-5839;2;;1375;WASHER (11X21X2.5-MM THK);385-8784;;CCR
0R-5549;1;;1375;CORE GP-O CLR;385-8784;;CCR
227-5075;1;;1393;SEAL;385-8790;;CCR
3S-9643;1;;1393;SEAL-LIP TYPE;385-8790;;CCR
9X-7380;1;;1393;SEAL-O-RING;385-8790;;CCR
248-5513;1;;1393;REGULATOR-TEMPERATURE (92-DEG C);385-8790;;CCR
6V-6609;2;;1393;SEAL-O-RING;385-8790;;CCR
6V-5063;1;;1393;SEAL-O-RING;385-8790;;CCR
157-0670;1;;1393;CAP-DUST;385-8790;;CCR
224-6361;1;;1393;SEAL;385-8790;;CCR
6V-9027;2;;1393;SEAL-O-RING;385-8790;;CCR
7L-6580;2;;1393;SEAL-O-RING;385-8790;;CCR
8C-3446;1;;1393;VALVE-SAMPLING (ENGINE OIL);385-8790;;CCR
9M-1974;9;;1393;WASHER-HARD (8.8X16X2-MM THK);385-5800;;CCR
245-9750;4;;1059;STUD-TAPERLOCK (M10X1.5X50-MM);372-2558;;CCR
283-2238;6;;1059;GASKET;372-2558;;CCR
116-3715;12;;1059;STUD-TAPERLOCK (M10X1.5X85-MM);372-2558;;CCR
6V-5839;12;;1059;WASHER (11X21X2.5-MM THK);372-2558;;CCR
9X-6620;12;;1059;LOCKNUT (M10X1.5-THD);372-2558;;CCR
176-9237;3;;1058;BOLT-SPECIAL (M10X1.5-THD);385-0950;;CCR
230-3518;1;;1058;GASKET-MANIFOLD;385-0950;;CCR
214-7568;1;;1058;SEAL-O-RING;385-0950;;CCR
6V-5839;10;;1058;WASHER (11X21X2.5-MM THK);385-0950;;CCR
6V-6353;1;;1058;SEAL-O-RING;385-0950;;CCR
5P-8245;6;;1405;WASHER-HARD (13.5X25.5X3-MM THK);390-8532;;CCR
6V-5839;7;;1405;WASHER (11X21X2.5-MM THK);390-8532;;CCR
123-0764;2;;1359;STUD-TAPERLOCK (M12X1.75X138.7-MM);219-7440;;CCR
5P-8245;2;;1359;WASHER-HARD (13.5X25.5X3-MM THK);219-7440;;CCR
9X-6451;3;;1302;PLUG-DRAIN (MAGNETIC)(ENGINE OIL PAN);264-5081;;CCR
217-3673;1;;1302;SEAL-ISOLATION;264-5081;;CCR
6V-7238;1;;1302;VALVE-SHUTOFF (ENGINE OIL PAN);264-5081;;CCR
238-5080;1;;1302;SEAL-O-RING;264-5081;;CCR
061-9458;4;;1302;SEAL-O-RING;264-5081;;CCR
217-3674;14;;1302;FASTENER AS;264-5081;;CCR
238-5084;1;;1302;SEAL-O-RING;264-5081;;CCR
3E-8016;2;;1302;BOLT-SELF-LOCKING (M8X1.25X25-MM);264-5081;;CCR
5P-8211;1;;1302;SEAL-O-RING;264-5081;;CCR
5P-8245;4;;1302;WASHER-HARD (13.5X25.5X3-MM THK);264-5081;;CCR
6N-8863;14;;1302;WASHER (10.2X32X2.5-MM THK);264-5081;;CCR
9M-1974;2;;1302;WASHER-HARD (8.8X16X2-MM THK);264-5081;;CCR
3B-0623;1;;1201;PLUG-CUP;117-0165;;CCR
9S-8008;1;;1201;PLUG (1-1/16-12-THD);269-6164;;CCR
238-5082;1;;1201;SEAL-O-RING;269-6164;;CCR
6V-3251;1;;1201;SEAL-O-RING;269-6164;;CCR
