Faena,Serie Equipo,Equipo
El Abra,1HL00345,16020
El Abra,1HL00346,16021
El Abra,1HL00347,16022
El Abra,1HL00367,16023
El Abra,1HL00368,16024
El Abra,1HL00369,16025
El Abra,1HL00370,16026
El Abra,1HL00371,16027
El Abra,1HL00191,16028
El Abra,4AR00405,16029
El Abra,4GZ00099,16030
El Abra,4AR00102,16031
El Abra,4GZ00100,16032
El Abra,1HL00157,16033
El Abra,1HL00154,16035
El Abra,1HL00148,16037
El Abra,1HL00304,16040
El Abra,1HL00350,16041
El Abra,1HL75002,16042
El Abra,3SJ75001,16043
El Abra,1HL75001,16044
El Abra,1HL75003,16045
El Abra,3SJ00022,16050
El Abra,1HL00375,16051
El Abra,1HL00480,16052
El Abra,1HL00481,16053
El Abra,1HL00483,16054
El Abra,4AR00116,16055
El Abra,4AR00350,16056
El Abra,4AR00353,16057
El Abra,4AR00354,16058
El Abra,4AR00355,16059
El Abra,4GZ00101,16060
El Abra,1HL00165,16061
El Abra,1HL00234,16062
El Abra,1HL00296,16063
El Abra,4AR00229,16064
El Abra,1HLL00297,16065
El Abra,4AR00223,16066
El Abra,4AR00224,16067
El Abra,4AR00231,16068
Candelaria,4AR00103  ,C50
Candelaria,4AR00104  ,C51
Candelaria,4AR00105  ,C52
Candelaria,4AR00114  ,C53
Candelaria,4AR00117  ,C54
Candelaria,4AR00118  ,C55
Candelaria,4AR00131  ,C56
Candelaria,4AR00123  ,C57
Candelaria,4AR00127  ,C58
Candelaria,4AR00122  ,C59
Candelaria,4AR00319  ,C60
Candelaria,4AR00320  ,C61
Candelaria,1HL00438  ,C80
Candelaria,1HL00439  ,C81
Candelaria,1HL00440  ,C82
Candelaria,1HL00268  ,C83
Candelaria,1HL00378  ,C84
Candelaria,1HL00379  ,C85
Candelaria,1HL00155  ,C86
Candelaria,1HL00156  ,C87
Candelaria,3SJ00008 ,C88
Candelaria,1HL00018 ,C89
Candelaria,,C90
Candelaria,1HL00107  ,C91
Candelaria,1HL00160,C92
Candelaria,1HL00161,C93
Candelaria,1HL00163,C94
Candelaria,1HL00232,C95
Candelaria,,C01
Candelaria,FDB00358  ,C02
Candelaria,,C03
Candelaria,FDB00474  ,C04
Candelaria,ATY00976,C10
Candelaria,ATY01093,C11
Candelaria,ATY01091,C12
Candelaria,ATY01088,C13
Candelaria,ATY00931,C14
Candelaria,ATY01092,C15
Candelaria,ATY01089,C16
Candelaria,,C71
Candelaria,1HL00147  ,C72
Candelaria,1HL00080  ,C73
Candelaria,,C40
Candelaria,,C41
Candelaria,1HL00510,C42
Candelaria,,C43
Candelaria,1HL00513,C44
Candelaria,1HL00478,C45
Candelaria,,C46
Candelaria,,C47
D.M.H,LAJ00186,301
D.M.H,,301A
D.M.H,LAJ00187,302
D.M.H,LAJ00185,303
D.M.H,LAJ00181,304
D.M.H,LAJ00179,305
D.M.H,LAJ00182,306
D.M.H,LAJ002178,307
D.M.H,,307A
D.M.H,LAJ00177,308
D.M.H,LAJ00180,309
D.M.H,,309A
D.M.H,LAJ00216,310
D.M.H,LAJ00219,311
D.M.H,LAJ00217,312
D.M.H,LAJ00221,313
D.M.H,LAJ00218,314
D.M.H,LAJ00220,315
D.M.H,LAJ00247,316
D.M.H,LAJ00248,317
D.M.H,LAJ00250,318
D.M.H,LAJ00249,319
D.M.H,LAJ00408,320
D.M.H,LAJ00414,321
D.M.H,LAJ00263,322
D.M.H,LAJ00472,323
D.M.H,LAJ00473,324
D.M.H,LAJ00471,325
D.M.H,LAJ00495,326
D.M.H,LAJ00495,327
D.M.H,LAJ00496,328
D.M.H,LAJ00497,329
D.M.H,LAJ00498,330
D.M.H,LAJ00501,331
D.M.H,LAJ00500,332
D.M.H,LAJ00499,333
D.M.H,LAJ00148,351
D.M.H,ERM00163,360
D.M.H,ERM00164,361
Spence,ATY00866,CEX01
Spence,ATY00869,CEX02
Spence,ATY00870,CEX03
Spence,ATY00871,CEX04
Spence,ATY00872,CEX05
Spence,ATY00887,CEX06
Spence,ATY00888,CEX07
Spence,ATY00893,CEX08
Spence,ATY00895,CEX09
Spence,ATY00896,CEX10
Spence,ATY00905,CEX11
Spence,ATY00916,CEX12
Spence,ATY00918,CEX13
Spence,ATY00917,CEX14
Spence,ATY00919,CEX15
