OrdenPrinc,Orden,Cl.,Cl.actv.PM,StatUsu,Texto breve,CeCo resp.,Ce.coste,Pto.tbjo.responsable,CrC,Material,Status del sistema,Inic.real,Fin real,Tota general (plan),Total general (real),Fecha ref.,Fe.modif.,Fe.entrada
505900073800,505900073801,ZSHP,107,ZTEC QCON,CI.CO.OH,5059RCHOP,5059RCHOP,5059RCPT,2.0,SEG_MINING,CERR NOTI FCPR DMNV FMAT MOVM NLIQ PERI*,2018-11-30,2019-05-22,12529.71,12436.71,2019-05-22,2020-10-30,2018-11-24
505900073900,505900073901,ZSHP,108,ZTEC QCON,CI.DI.OH,5059RCHOP,5059RCHOP,5059RCPT,2.0,SEG_MINING,CTEC NOTI FCPR DMNV FMAT MOVM NLIQ PERI*,2018-11-21,2019-07-09,38817.09,37243.19,2019-07-10,2019-07-10,2018-11-24
505900074100,505900074101,ZSHP,101,ZTEC,SM797B/CI/OPERACIONES/1925826,5059RCHOP,5059RCHOP,5059RCPT,2.0,SEG_MINING,CERR NOTI DMNV KKMP NLIQ PREC,2019-04-05,2019-04-05,0.0,0.0,2019-04-05,2020-10-30,2018-11-24
505900074200,505900074201,ZSHP,101,ZTEC,CI.DI.OH,5055DCHRL,5055DCHRL,5059RCPT,1.0,SEG_MINING,CTEC NOTI FCPR DMNV FMAT MOVM NLIQ PERI*,2018-12-01,2019-07-20,25135.73,0.0,2019-07-29,2019-07-29,2018-11-24
505900074300,505900074301,ZSHP,108,ZTEC QCON,CI.CO.OH,5059RCHOP,5059RCHOP,5059RCPT,2.0,SEG_MINING,CERR NOTI FCPR DMNV FMAT MOVM NLIQ PERI*,2018-11-30,2019-05-22,12723.75,12160.98,2019-05-22,2020-10-30,2018-11-24
505900075500,505900075501,ZSHP,108,ZTEC,CI.MF.OH.,5059RCHOP,5059RCHOP,5059RCPT,1.0,SEG_MINING,CERR NOTI FCPR DMNV MOVM NLIQ PERI PREC,2018-11-24,2019-08-02,149523.71,145443.39,2019-08-06,2020-10-30,2018-11-26
505900075600,505900075601,ZSHP,108,ZTEC QCON,CI.MF.OH,5059RCHOP,5059RCHOP,5059RCPT,1.0,SEG_MINING,CERR NOTI FCPR DMNV MOVM NLIQ PERI PREC,2018-11-24,2019-05-23,40643.06,41894.13,2020-03-31,2020-11-03,2018-11-26
505900078900,505900078901,ZSHP,108,ZTEC,800343.CI.MO.OH,5059RCHOP,5059RCHOP,5059RCET,2.0,797F_V000.AA,CERR NOTI FCPR DMNV MOVM NLIQ PERI PREC,2018-11-29,2020-04-21,395506.18,403236.16,2020-04-22,2020-11-03,2018-11-27
505900078900,505900078902,ZSHP,101,WOOP,MO797F/CI/AVISOREMAN300083768,5059RCHOP,5059RCHOP,5059RCET,3.0,797F_V000.AA,CERR KKMP NLIQ PREC,,,0.0,0.0,2020-10-07,2021-02-02,2019-02-06
505900078900,505900078903,ZSHP,104,ZTEC,FALTANTES,5059RCHOP,5090DCHEP,5059RCET,2.0,797F_V000.AA,CERR NOTI DMNV FMAT MOVM NLIQ PERI PREC,2020-04-21,2020-04-21,443.85,426.42,2020-04-22,2020-11-03,2019-02-06
