Aviso,Cl.Aviso,SIMS,Centro planificación,Area Emp,Sociedad,OrdSup,OrdServ,Clase Orden,TAM,Status de sistema,Status Usu.Orden de Servicio,Apr Hs,NF,SolicParts,PrtsEntreg,BO,TTA,Norm.Liq.,Garant,N° Claim,Cliente,Vendedor,Equipo,Tipo Equipo,Fabricante,Modelo,Serie,N° Cotiz,Stat Claim,Avance %,Ord. Liqui,TotHsRe,TotHsPl,Precio Repuestos,Precio KMT,Precio Mano de Obra,Precio TTA,Precio Misc,Precio Viaje,Precio total de venta,Costo Repuestos,Costo Mano de Obra,Costo TTA,Costo Misc,Costo KMT,Costo Total OS,Fe AP OS,Días WIP,Dias Inac,Fe Cotiz,Fe Ent Co,Fe Aprob,Fe Prom Ej,Fe ConcS,Fe CieTec
300038343,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900005500,505900005501,ZSHP - Orden servicio Taller,107 - Subcontrato orden a orde,NOTI PREC NLIQ CERR PERI SSAP ENMN FCPR,QCON ZTEC,,@5B@,@EB@,@EB@,@EB@,@EB@,NL,,,Z5006 - FINNING CHILE IQUIQUE,,10063065 - MOTORGRADERS - 24,Equipo de ETM,AA,24H,7KK00267,60014248.0,,100,500600004401.0,464.3,20.0,0.0,0,1000.0,0.0,0.0,0,1000.0,0.0,464.27,0.0,0.0,0,464.27,2018-10-30,37,0,,2018-11-13,2018-11-13,,2018-12-06,2018-12-06
300038741,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900016600,505900016601,ZSHP - Orden servicio Taller,108 - Subcont Proc Reman solo,NOTP PREC NLIQ CERR PERI SSAP ENMN MOVM,QCON ZTEC,@5C@,@5C@,@0A@,,@09@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10039884 - LARGE MINING TRUCKS - 797,Máquinas,AA,797B,JSM00358,60236082.0,,0,800075.0,1357.5,1498.4,409617.22,0,61797.44,0.0,0.0,0,471414.66,447568.67,70122.89,695.58,6457.13,0,537396.03,2018-10-30,507,193,2018-01-07,2018-11-10,2018-11-10,,2020-03-20,2020-03-20
300051347,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900016600,505900016602,ZSHP - Orden servicio Taller,101 - Serv intersuc concesione,PREC NLIQ CERR SSAP KKMP,WOOP,@5C@,@5C@,@0A@,@EB@,@EB@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10039884 - LARGE MINING TRUCKS - 797,Máquinas,AA,797B,JSM00358,,,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2018-11-16,0,1084,,,,,,
300091862,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900016600,505900016603,ZSHP - Orden servicio Taller,104 - Serv interdep concesione,FMAT NOTI PREC NLIQ CERR PERI SSAP ENMN,ZTEC,@5C@,@5B@,@0A@,@08@,@08@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10039884 - LARGE MINING TRUCKS - 797,Máquinas,AA,797B,JSM00358,,,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3210.72,0.0,0.0,0.0,0,3210.72,2018-12-04,437,0,2019-01-08,2019-01-08,2019-01-08,,2020-03-20,2020-03-20
300424505,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900016600,505900016604,ZSHP - Orden servicio Taller,101 - Serv intersuc concesione,PREC NLIQ CERR SSAP KKMP,WOOP,@5C@,@5C@,@0A@,@EB@,@EB@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10039884 - LARGE MINING TRUCKS - 797,Máquinas,AA,797B,JSM00358,,,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-01-27,0,647,,,,,,
300424506,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900016600,505900016605,ZSHP - Orden servicio Taller,108 - Subcont Proc Reman solo,FMAT PREC NLIQ CERR PERI SSAP ENMN MOVM,QCON ZTEC,@5C@,@5C@,@0A@,@08@,@09@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10039884 - LARGE MINING TRUCKS - 797,Máquinas,AA,797B,JSM00358,60236082.0,,0,800075.0,0.0,0.0,6767.91,0,0.0,0.0,0.0,0,6767.91,7412.25,0.0,0.0,0.0,0,7412.25,2020-01-27,53,29,2020-02-15,2020-01-27,2020-01-27,,2020-03-20,2020-03-20
300452987,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900016600,505900016606,ZSHP - Orden servicio Taller,304 - Garantía REDO,NOTI PREC NLIQ CERR PERI SSAP ENMN MOVM,ZGIN ZTEC,@5C@,@5B@,@0A@,@08@,@08@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10039884 - LARGE MINING TRUCKS - 797,Máquinas,AA,797B,JSM00358,,,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,21.63,0.0,0.0,0.0,0,21.63,2020-03-05,15,0,,2020-03-05,2020-03-05,,2020-03-20,2020-03-20
300038786,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900019900,505900019901,ZSHP - Orden servicio Taller,108 - Subcont Proc Reman solo,NOTP PREC NLIQ CERR PERI SSAP ENMN MOVM,QCON ZTEC,@5C@,@5C@,@0A@,@08@,@09@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10063144 - LARGE TRACK TYPE (D9-D11) - D,Máquinas,AA,D11R,7PZ01601,60244356.0,,0,800147.0,610.8,570.5,89348.23,0,19817.08,3302.14,0.0,0,112467.45,113885.54,29996.64,4234.97,0.0,0,156573.64,2018-10-30,531,223,2019-01-10,2018-11-10,2018-11-10,,2020-04-13,2020-04-13
300116140,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900019900,505900019902,ZSHP - Orden servicio Taller,101 - Serv intersuc concesione,PREC NLIQ CERR SSAP KKMP,WOOP,@5C@,@5C@,@0A@,@EB@,@EB@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10063144 - LARGE TRACK TYPE (D9-D11) - D,Máquinas,AA,D11R,7PZ01601,,,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2019-01-09,0,1030,,,,,,
300116144,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900019900,505900019903,ZSHP - Orden servicio Taller,104 - Serv interdep concesione,FMAT NOTI PREC NLIQ CERR PERI SSAP ENMN,ZTEC,@5C@,@5B@,@0A@,@08@,@09@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10063144 - LARGE TRACK TYPE (D9-D11) - D,Máquinas,AA,D11R,7PZ01601,,,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1038.21,0.0,0.0,0.0,0,1038.21,2019-01-09,460,10,2019-01-10,2019-01-09,2019-01-09,,2020-04-13,2020-04-13
300442781,SR,@7C@,5059 - Centro Reparación Antof,SHP,5010,505900019900,505900019904,ZSHP - Orden servicio Taller,101 - Serv intersuc concesione,PREC NLIQ CERR SSAP KKMP,WOOP,@5C@,@5C@,@0A@,@EB@,@EB@,@EB@,NL,,,Z5059 - Centro Reparación Anto,,10063144 - LARGE TRACK TYPE (D9-D11) - D,Máquinas,AA,D11R,7PZ01601,,,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-02-20,0,623,,,,,,
