OS,cliente,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
NP16700,CONTRATO MEL,MO,797,DESPACHO,,2006-06-30 00:00:00,2006-03-29,1363202,3TN00416,5YW00228,,,545445.0
NP16480,EL ABRA,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9659,7CL01331,1HL00154,,,7054.0
NP16727,COLLAHUASI,MO,797,DESPACHO,,2006-06-30 00:00:00,2006-03-29,1874597,3TN00492,5YW00259,,,2913.0
NP16745,EL ABRA,MO,D10N,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1874597,3TN00492,5YW00259,,,3960.0
CI06708,MINERA SPENCE S.A.,MO,,DESPACHO,,2007-03-01 00:00:00,2006-03-27,,CUALQUIERA,CUALQUIERA,,Overhaul,545445.0
CI06696,INTERCAMBIO,MO,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R3983,7CL01319,7EK00215,,Overhaul,545445.0
NP16825,CONTRATO MEL,MO,797,DESPACHO,,2006-06-30 00:00:00,2006-03-29,OR8668,3TN00447,5YW00234,,,545445.0
NP16526,,MO,16H,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1107949,11N14779,6ZJ00029,,,545445.0
NP16738,PELAMBRES,MO,797,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R8668,CND00203,5YW00275,,,545445.0
CI06693,INTERCAMBIO,MO,797B,DESPACHO,,2007-03-01 00:00:00,2006-04-24,0R7542,80M02249,3KR00530,,Overhaul,545445.0
NP16672,,MO,16H,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1107949,41Z04401,6ZJ00242,,,545445.0
NP16830,,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9659,7CL01389,1HL00165,,,545445.0
NP16845,,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R3959,7CL01261,1HL00368,,,545445.0
CI06722,INTERCAMBIO,MO,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R3983,7CL00378,7EK00214,,Overhaul,545445.0
NP16750,,MO,793B,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R3969,7CL01482,1HL00243,,,545445.0
CI06712,INTERCAMBIO,MO,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R8668,1AW00493,5YW00219,,Overhaul,545445.0
NP16673,,MO,D10R,DESPACHO,,2007-03-01 00:00:00,2006-03-30,7T2630,73W16235,2YD02346,,,545445.0
CI06583,INTERCAMBIO,MO,773D,DESPACHO,,2006-05-31 00:00:00,2006-03-27,1230198,80M02901,7ER00280,,Overhaul,545445.0
NP16690,,MO,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-30,,CPW00480,4AR00131,,,545445.0
CI06532,INTERCAMBIO,DI,797,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9815,84022702GD,5YW00276,,Overhaul,545445.0
CI06632,INTERCAMBIO,DI,994D,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1191792,CRA05104,3TZ00262,,Overhaul,545445.0
CI06698,INTERCAMBIO,DI,16H,DESPACHO,,2006-07-15 00:00:00,2006-03-27,8D4290,CRA05107,ATS00219,,Overhaul,545445.0
CI06710,INTERCAMBIO,DI,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1256046,CRA04167,7EK00640,,Overhaul,545445.0
NP16482,,DI,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,1350471C,CRA05103,1HL00148,,,545445.0
NP16784,,DI,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,1354071,CRA01585,1HL00146,,,545445.0
NP16795,PELAMBRES,DI,797,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9815,50012301GD,5YW00236,,,545445.0
CI06709,INTERCAMBIO,DI,797B,DESPACHO,,2007-03-01 00:00:00,,0R9815,87052202GD,JSM00124,,Overhaul,14121.0
NP16861,,DI,789,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1256046,CRA05081,9ZC00544,,,545445.0
NP16857,,DI,777D,DESPACHO,,2007-03-01 00:00:00,2006-03-30,1049410,CRA05089,AGC00333,,,545445.0
NP16886,CONTRATO MEL,DI,797B,DESPACHO,,2007-03-01 00:00:00,2006-03-29,1872033,46101800D,JSM00183,,,4991.0
CI06769,INTERCAMBIO,DI,789B,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1256046,CRA01354,7EK00640,,Overhaul,545445.0
NP16911,,DI,992G,DESPACHO,,2007-03-01 00:00:00,2006-09-03,,CUALQUIERA,CUALQUIERA,,,545445.0
CI06771,INTERCAMBIO,DI,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,1350471C,CRA01849,1HL00438,,Overhaul,545445.0
NP16540,EL ABRA,MF,797B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9814,302279,0JSM00143,,,12510.0
NP16696,,MF,789C,DESPACHO,,2007-03-01 00:00:00,2006-03-30,0R9043,10060594,2BW00158,,Overhaul,545445.0
NP16629,PELAMBRES,MF,797,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9814,600133,5YW00224,,,13580.0
CI06548,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9049,CRA02044,4AR00117,,Overhaul,545445.0
CI06550,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,10060782,4AR00127,,Overhaul,545445.0
CI06563,INTERCAMBIO,MF,793C,DESPACHO,,2007-03-01 00:00:00,2006-03-27,0R9049,CRA10459,CUALQUIERA,,Overhaul,545445.0
CI06551,INTERCAMBIO,MF,793B,DESPACHO,,2007-03-01 00:00:00,2006-10-03,10R1822,10059552,1HL00379,,Overhaul,545445.0
NP16635,,MF,793,DESPACHO,,2007-03-01 00:00:00,2006-10-03,0R9049,CRA02490,1HL00018,,,545445.0
