NPersonal,estadoFinalizado,calificacion,puntaje,IDCurso
3479164,0,,0.0,FINSA-FLL-027
3488758,1,No apto,10.0,ADN02
3485764,0,,0.0,ADN02
3481247,1,Apto,89.0,CME2270
3479009,1,Apto,100.0,CME2270
3479131,1,Apto,100.0,CME2270
3482577,1,Apto,100.0,CME2270
3479164,1,Apto,79.0,CME2270
3481217,0,,0.0,CME2270
3480201,1,Apto,91.0,CT0016
3479002,1,Apto,90.0,CT0016
3483833,1,Apto,90.0,HME2607
3482308,1,Apto,80.0,HME2607
3482703,1,Apto,81.0,HME2607
3483834,1,Apto,80.0,HME2607
3484587,1,Apto,86.0,CME1303
3484067,1,Apto,86.0,CME1303
3477873,1,Apto,86.0,CME1303
3482308,1,Apto,82.0,CME1302
3482703,1,Apto,83.0,CME1302
3483834,1,Apto,0.0,CME1302
3477873,1,Apto,94.0,CME1302
3479202,1,Apto,100.0,HME0078
3484587,1,Apto,80.0,HME2108
3477873,1,Apto,95.0,HME2108
3484096,1,Apto,90.0,HME2108
3484067,1,Apto,90.0,HME2108
3484033,1,Apto,95.0,HME2108
3482577,1,Apto,90.0,HME2108
3479002,1,Apto,90.0,HME2108
3482577,0,,0.0,HME2108
3484587,1,Apto,95.0,HME2096
3484033,1,Apto,95.0,HME2096
3477873,1,Apto,100.0,HME2096
3484067,1,Apto,95.0,HME2096
3484096,1,Apto,100.0,HME2096
3479002,1,Apto,100.0,HME2096
3484056,1,Apto,100.0,HME2096
3480123,1,Apto,100.0,HME2119
3479164,1,Apto,95.0,HME2119
3479131,1,Apto,90.0,HME2119
3481247,1,Apto,85.0,HME2116
3480123,1,Apto,90.0,HME2116
3479009,1,Apto,90.0,HME2116
3479164,1,Apto,90.0,HME2116
3479131,1,Apto,90.0,HME2116
3480123,1,Apto,85.0,HME2113
3484096,1,Apto,85.0,HME2113
3481247,1,Apto,90.0,HME2113
3479131,1,Apto,100.0,HME2113
3480211,1,Apto,100.0,HME2113
3481247,1,Apto,100.0,HME2114
3479131,1,Apto,100.0,HME2114
3479164,1,Apto,100.0,HME2114
3480123,1,Apto,90.0,HME2115
3479002,1,Apto,90.0,HME2115
3482577,1,Apto,95.0,HME2115
3481247,1,Apto,95.0,HME2115
3479131,1,Apto,100.0,HME2115
3482894,1,Apto,100.0,HME2097
3484056,1,Apto,85.0,HME2101
3484587,1,Apto,90.0,HME2101
3482577,1,Apto,100.0,HME2101
3482577,0,,100.0,HME2101
3480123,1,Apto,100.0,HME2120
3479164,1,Apto,95.0,HME2120
3482808,0,,0.0,
3480123,1,Apto,100.0,HME0449
3479164,1,Apto,80.0,HME0449
3481247,1,Apto,85.0,HME0449
3479131,1,Apto,100.0,HME0449
3481247,0,,0.0,HME0449
3484397,1,Apto,95.0,HME2060
3481247,1,No apto,53.0,HME2060
3480211,1,Apto,95.0,HME2060
3479131,1,Apto,100.0,HME2060
3479164,1,Apto,90.0,HME2060
3483834,1,Apto,70.0,HME2060
3483833,1,Apto,85.0,HME2060
3488758,1,Apto,100.0,CPR0050
3481217,1,Apto,100.0,SOPTE19
3479514,1,Apto,100.0,SOPTE19
3481217,1,Apto,100.0,SOPTE20
3479514,1,Apto,100.0,SOPTE20
3478962,1,Apto,100.0,CATCT793F
3483833,1,Apto,95.0,HME2608
3483834,1,Apto,100.0,HME2608
3482308,1,Apto,100.0,HME2608
3482894,1,Apto,71.0,HME1222
3481247,1,Apto,80.0,HME1222
3484033,1,Apto,71.0,HME1222
3484587,1,Apto,70.0,HME1222
3484056,1,Apto,70.0,HME1222
3477873,1,Apto,85.0,HME1222
3482703,1,Apto,91.66,CAD00424
3479287,1,Apto,91.66,CAD00424
3479009,1,Apto,83.33,CAD00424
3480123,1,Apto,100.0,CAD00424
3479189,1,Apto,91.66,CAD00424
3480184,1,Apto,83.33,CAD00424
3481099,1,Apto,100.0,CAD00424
3479459,1,Apto,100.0,CAD00424
3479202,1,Apto,100.0,CAD00424
3478195,1,No apto,75.0,CAD00424
3482894,1,Apto,100.0,CAD00424
3479261,1,Apto,100.0,CAD00424
3479266,1,Apto,100.0,CAD00424
3480944,1,Apto,100.0,CAD00424
3479182,1,Apto,100.0,CAD00424
3482863,1,Apto,91.66,CAD00424
3483156,1,Apto,91.66,CAD00424
3481104,1,Apto,100.0,CAD00424
3482894,1,No apto,16.66,CAD00424
3484033,1,Apto,91.66,CAD00424
3485764,1,Apto,83.33,CAD00424
3482808,1,Apto,100.0,CAD00424
3477878,1,Apto,100.0,CAD00424
3484067,1,Apto,91.66,CAD00424
3482577,1,Apto,100.0,CAD00424
3479131,1,Apto,91.66,CAD00424
3479164,1,Apto,100.0,CAD00424
