serieComp,Orden,Operacion,Descripcion,serieEquipo,TrabajoCotizado,TrabajoReal,OSMadre
JSM00421,505900149207,530,tta maestranza - garantia,10039907,4773.0,0.0,505900149200
JSM00421,505900149207,550,MUESTRA DE ACEITE X 06,10039907,196.0,0.0,505900149200
JSM00458,505900475001,530,ARRIENDO DE GRUA 80 TONELADAS COT.:22101,10039920,0.0,12.0,505900475000
JSM00134,505900479001,40,SOLPED MSHOP OS/496801 RECUP HOUSING,10039831,0.0,2.0,505900479000
JSM00188,505900896001,520,GRANALLADO CARTER (ZAHIR) OS 50590089600,10039853,0.0,10.5,505900896000
JSM00173,505900913101,540,GRANALLADO CARTER (ZAHIR)OS 505900913101,10039840,0.0,3.0,505900913100
LAJ00471,505900916401,900,horas externas,10040631,0.0,7.0,505900916400
SSP00142,505900947701,680,Horas externas,10051768,0.0,65.9,505900947700
AMA00221,505900957001,360,horas externas,10033320,0.0,84.0,505900957000
LAJ00263,505900958001,690,Horas externas,10040613,0.0,106.5,505900958000
JSM00181,505900958701,740,Horas externas,10039846,0.0,52.5,505900958700
JSM00181,505900958702,550,horas extras,10039846,0.0,51.0,505900958700
A9999999,505900975401,690,horas extras,99999999,0.0,10.5,505900975400
JSM00442,505901018301,600,Horas externas,10039914,0.0,133.82,505901018300
JSM00442,505901018302,500,horas externas,10039914,0.0,31.5,505901018300
JSM00419,505901019501,610,Horas externas,10039905,0.0,101.22,505901019500
JSM00431,505901019901,630,Horas externas,10039912,0.0,79.02,505901019900
JSM00471,505901020001,580,Horas externas,10039931,0.0,124.32,505901020000
JSM00234,505901025501,560,Horas externas,10039858,0.0,71.82,505901025500
T4Y00153,505901026001,340,Horas externa 330,10054339,0.0,73.92,505901026000
LAJ00263,505901033501,680,Horas externas,10040613,0.0,86.32,505901033500
JSM00471,505901020002,450,horas externas,10039931,0.0,10.5,505901020000
7PZ01695,505901035801,670,Horas externas,10063148,0.0,71.82,505901035800
7PZ01695,505901035801,710,HORAS EXTERNAS,10063148,0.0,63.0,505901035800
JSM00431,505901019902,430,horas externas,10039912,0.0,32.8,505901019900
JSM00419,505901019502,430,horas externas,10039905,0.0,10.5,505901019500
JSM00234,505901025502,420,HORAS EXTERNAS,10039858,0.0,63.0,505901025500
A9999999,505901053701,530,Horas externas,99999999,0.0,71.82,505901053700
A9999999,505901059401,570,HORAS EXTERNAS,99999999,0.0,42.0,505901059400
A9999999,505901059402,440,HORAS EXTERNAS,99999999,0.0,42.0,505901059400
SSP00934,505901068201,600,Horas externas,10052055,0.0,71.82,505901068200
A9999999,505901070001,510,Horas externas,99999999,0.0,71.82,505901070000
LAJ00618,505901085201,610,Horas externas,10040642,0.0,71.82,505901085200
LAJ00169,505901109401,660,Horas externas,10040575,0.0,88.1,505901109400
LAJ00175,505900078901,10,LAVAR MOTOR,10040581,1.0,0.0,505900078900
LAJ00175,505900078901,20,DESARMAR MOTOR,10040581,80.0,89.5,505900078900
