OSMadre,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505900078900,MO,797F,DESPACHO,2018-11-27,2020-04-27 00:00:00,2020-04-23,20R4668,LLM01089,LAJ00175,Programado,Overhaul,11537.0
505900080900,MO,789C,DESPACHO,2018-11-27,2020-03-25 00:00:00,2020-03-25,0R8556,7DS01247,2BW00517,Programado,Overhaul,25167.0
505900088700,MO,797B,DESPACHO,2018-12-06,2020-05-24 00:00:00,2020-05-24,10R7929,NPM00389,JSM00362,Programado,Overhaul,12295.0
505900111400,MO,793C,DESPACHO,2018-12-15,2020-01-09 00:00:00,2020-01-09,20R6116,CPW01456,ATY00893,Programado,Overhaul,4364.0
505900127200,MO,793D,DESPACHO,2018-12-26,2020-03-30 00:00:00,2020-03-30,20R6115,8WM03338,S/N,Programado,Overhaul,0.0
505900139900,MO,777D,DESPACHO,2019-01-08,2020-02-25 00:00:00,2020-02-25,1953816,BTR00691,AGC02107,Programado,Overhaul,19235.0
505900149200,MO,797B,DESPACHO,2019-01-08,2020-06-07 00:00:00,2020-06-07,10R7929,XEE00109,JSM00421,Evento,Overhaul,5331.0
505900158900,MO,797B,DESPACHO,2019-01-28,2020-04-17 00:00:00,2020-04-17,10R7929,NPM00530,JSM00429,Programado,Overhaul,14628.0
505900175200,MO,797F,DESPACHO,2019-02-07,2019-03-01 00:00:00,2020-02-07,20R4668,LLM01302,LAJ00258,Evento,Overhaul,2931.0
505900188500,MO,797B,DESPACHO,2019-02-27,2020-04-30 00:00:00,2020-04-27,10R7929,NPM00477,JSM00233,Programado,Overhaul,0.0
505900189200,MO,797F,DESPACHO,2019-02-26,2020-05-17 00:00:00,2020-05-13,20R4668,LLM01100,LAJ00171,Programado,Overhaul,0.0
505900193200,MO,797F,DESPACHO,2019-02-28,2020-03-30 00:00:00,2020-03-30,20R4668,LLM01486,LAJ00610,Programado,Overhaul,0.0
505900196000,MO,797F,DESPACHO,2019-03-06,2019-04-30 00:00:00,2020-03-17,20R4668,ZK301064,LAJ00472,Programado,Overhaul,15531.0
505900238300,MO,797F,DESPACHO,2019-04-04,2020-03-27 00:00:00,2020-03-27,20R4668,LLM01209,LAJ00438,Programado,Overhaul,14128.0
505900264300,MO,797F,DESPACHO,2019-04-29,2020-04-25 00:00:00,2020-04-09,20R4668,HN400195,LAJ00611,Evento,Overhaul,5912.0
505900310800,TR,797F,DESPACHO,2019-06-11,2020-01-31 00:00:00,2020-01-28,20R3632,JH5R4872,LAJ00230,Evento,Overhaul,527.0
505900318600,MO,797F,DESPACHO,2019-06-21,2020-07-30 00:00:00,2020-07-30,20R7015,LLM01319,LAJ00236,Programado,Overhaul,9552.0
505900342200,MO,797B,TERMINADO,2019-07-11,2020-02-17 00:00:00,2020-02-17,10R7929,NPM00372,JSM00363,Programado,Overhaul,13601.0
505900346800,MO,797F,TERMINADO,2019-07-18,2020-06-27 00:00:00,2020-06-27,20R7015,AJ800100,LAJ00621,Programado,Overhaul,14533.0
505900358600,MO,797B,DESPACHO,2019-07-27,2020-07-30 00:00:00,2020-07-30,10R7929,XEE00139,JSM00411,Evento,Overhaul,4394.0
505900359900,MO,797B,DESPACHO,2019-08-03,2020-04-30 00:00:00,2020-04-30,10R7929,NPM00431,JSM00335,Programado,Overhaul,13839.0
505900381400,MO,834H,DESPACHO,2019-08-16,2020-01-24 00:00:00,2020-01-23,20R4097,RGX01407,BTX00369,Evento,Overhaul,336.0
505900383600,MO,797B,DESPACHO,2019-08-29,2020-06-25 00:00:00,2020-06-30,10R7929,XEE00132,JSM00420,Programado,Overhaul,5646.0
505900410000,CO,797B,DESPACHO,2019-09-10,2020-01-15 00:00:00,2020-01-14,20R0132,T1H00110,JSM00293,Evento,Overhaul,897.0
505900388500,TR,797F,DESPACHO,2019-08-29,2020-01-10 00:00:00,2020-01-06,20R3632,JH500860,LAJ00187,Evento,Overhaul,17496.0
505900393000,MO,793F,DESPACHO,2019-08-29,2020-08-22 00:00:00,2020-08-21,20R4666,B7B01329,SSP00866,Evento,Overhaul,14387.0
505900415200,DI,24M,DESPACHO,2019-09-24,2020-01-20 00:00:00,2020-01-07,2739007,325812150,B9300148,Evento,Overhaul,619.0
505900430800,TR,797B,DESPACHO,2019-10-01,2020-01-02 00:00:00,2020-01-02,0R9813,10056169,JSM00177,Programado,Overhaul,17225.0
505900434500,TR,797B,DESPACHO,2019-10-02,2020-01-12 00:00:00,2020-01-11,0R9813,10213051,JSM00420,Programado,Overhaul,18978.0
505900435600,MF,797B,DESPACHO,2019-10-04,2020-01-12 00:00:00,2020-01-10,0R9814,10141158,JSM00134,Programado,Overhaul,16342.0
505900454000,MO,797F,DESPACHO,2019-10-08,2020-04-30 00:00:00,2020-04-30,20R7015,LLM01318,LAJ00621,Evento,Overhaul,1960.0
505900439400,MO,793C,DESPACHO,2019-10-08,2020-05-17 00:00:00,2020-05-16,0R9558,7DS01366,4AR00223,Programado,Overhaul,15081.0
505900441600,TR,793C,DESPACHO,2019-10-09,2020-01-07 00:00:00,2020-01-06,0R4749,4GX02154,ATY00846,Programado,Overhaul,17124.0
