OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900078900,505900078901,347511.92,44808.31,165.93,403236.16,512
505900078900,505900078902,0.0,0.0,0.0,0.0,0
505900078900,505900078903,426.42,0.0,0.0,426.42,441
505900078900,505900078904,0.0,0.0,0.0,0.0,0
505900078900,505900078905,5458.0,0.0,0.0,5458.0,12
505900078900,505900078906,0.0,0.0,0.0,0.0,0
505900078900,505900078907,0.0,0.0,0.0,0.0,0
505900080900,505900080901,240272.16,32281.09,1364.02,287047.66,487
505900080900,505900080902,0.0,0.0,0.0,0.0,0
505900080900,505900080903,8446.32,0.0,0.0,8446.32,435
505900080900,505900080904,0.0,0.0,0.0,0.0,0
505900080900,505900080905,4420.34,0.0,0.0,4420.34,26
505900088700,505900088701,407721.35,63816.67,2093.4,503881.42,543
505900088700,505900088702,0.0,0.0,0.0,0.0,0
505900088700,505900088703,3848.2,0.0,0.0,3848.2,499
505900088700,505900088704,0.0,0.0,0.0,0.0,0
505900088700,505900088705,0.0,0.0,0.0,0.0,42
505900088700,505900088706,-5.88,2692.36,0.0,2686.48,14
505900088700,505900088707,0.0,0.0,0.0,0.0,0
505900088700,505900088708,0.0,0.0,0.0,0.0,0
505900088700,505900088709,746.92,0.0,0.0,746.92,34
505900111400,505900111401,189413.73,32109.42,1198.09,237821.24,390
505900111400,505900111402,0.0,0.0,0.0,0.0,0
505900111400,505900111403,8.53,0.0,0.0,8.53,351
505900111400,505900111404,0.0,0.0,0.0,0.0,0
505900111400,505900111405,0.0,0.0,0.0,0.0,0
505900111400,505900111406,0.0,0.0,0.0,0.0,0
505900127200,505900127201,247858.84,29690.69,1416.82,290328.35,465
505900127200,505900127202,0.0,0.0,0.0,0.0,0
505900127200,505900127203,418.91,0.0,0.0,418.91,432
505900127200,505900127204,0.0,0.0,0.0,0.0,0
505900127200,505900127205,0.0,0.0,0.0,0.0,0
505900127200,505900127206,0.0,0.0,0.0,0.0,0
505900127200,505900127207,39.01,0.0,0.0,39.01,28
505900139900,505900139901,130267.55,29968.16,440.75,166277.43,416
505900139900,505900139902,27.33,0.0,0.0,27.33,20
505900139900,505900139903,5105.64,0.0,0.0,5105.64,405
505900139900,505900139904,0.0,0.0,0.0,0.0,0
505900139900,505900139905,3331.08,0.0,0.0,3331.08,43
505900139900,505900139906,0.0,0.0,0.0,0.0,0
505900158900,505900158901,366206.51,72564.75,11220.23,483127.09,447
505900158900,505900158902,0.0,0.0,0.0,0.0,0
505900158900,505900158903,1558.31,0.0,0.0,1558.31,320
505900158900,505900158904,0.0,0.0,0.0,0.0,0
505900158900,505900158905,223.32,0.0,0.0,223.32,18
505900158900,505900158906,0.0,0.0,0.0,0.0,0
505900175200,505900175201,377883.42,50695.76,222.5,438553.18,364
505900175200,505900175202,0.0,0.0,0.0,0.0,0
505900175200,505900175203,4331.18,0.0,0.0,4331.18,383
