Equipo,IDCurso,Descripcion
Power Train,HME2093,Desarme de Bomba de Engranajes.
Power Train,HME2104,Desarme de Convertidor de Torque 
Power Train,HME2094,Desarme de Transmisión de Camión
Power Train,HME0158,Evaluación del Desgaste de los Platos y Discos de una Transmisión
Power Train,HME2095,Desarme de Reducción Planetaria de Camión
Power Train,HME0038,Evaluación de los Grupos de Sello Duo-Cone
Power Train,HME0656,Desarme y Evaluación de Conjunto de Freno de Camión
Power Train,HME1356,Evaluación de Engranajes de Transmisión
Power Train,HME1334,Evaluación y Análisis de Desgaste de Rodamientos y Cubetas
Power Train,HME2103,Desarme de Freno y Embrague de Dirección de Tractor
Power Train,HME2102,Instalación de Rodamientos y Cubetas 
Power Train,CME0020,Aprobar el curso de Análisis de Falla de Componentes Mecánicos 
Motores,HME1343,Inspección de Cigüeñal Reacondicionado con TTA
Motores,HME1336,Inspección Conjunto Móvil (Pistón – biela) y Camisa.
Motores,HME1338,"Evaluación y Mediciones de Block, Cigüeñal y Ejes de Levas"
Motores,HME0161,Evaluación del Desgaste de Cojinetes de Biela y Bancada.
Motores,HME2058,Extraer Camisas para Inspección
Motores,HME2151,"Desarme, Evaluación  Bomba de Aceite de Motor."
Motores,HME1049,Desarme; Evaluación y Armaduría de una Bomba de Agua.
Motores,HME2076,Reemplazo y Rectificado de Bujes de Balancines.
Motores,HME2252,Desarme y Evaluacion de Fan Drive
Motores,HME1334,Evaluación y Análisis de Desgastes de Rodamientos y Cubetas.
Motores,HME1270,Inspección de Block Reacondicionado
