genTipoComp,genModelo,genEstado,genTipoReparacion,genHh,genNVueltas,genDemora,repNP,repNoKitCant,moVariacion,moDesarmeVariacion,moSalvatajeTrabajoReal,moSalvatajeCantPersonal,genPondExp,genPondNivel,genPondAvance,genPndCursos,repYCostos,moYCostos,ttaYCostos,genYCostos
MO,797F,DESPACHO,Overhaul,11537.0,3,-4.0,748.0,2443.0,0.10662851692894607,-0.07523939808481532,44.5,7.0,2433.7262996941895,2.8646153846153846,0.0,0.009427237819318939,353396.33999999997,44808.31,165.93,409120.57999999996
MO,797B,DESPACHO,Overhaul,12295.0,2,0.0,1157.0,6846.0,0.21700806952203594,-0.25193199381761977,0.0,0.0,3819.5349040139613,3.2329635499207607,0.0,0.008795811518324608,412310.58999999997,66509.03,2093.4,511163.01999999996
MO,793C,DESPACHO,Overhaul,4364.0,2,0.0,624.0,1412.0,0.22726965912926092,0.0,0.0,0.0,3411.412077478162,3.5438596491228065,0.0,0.021437312740009287,189422.26,32109.42,1198.09,237829.77
MO,797B,DESPACHO,Overhaul,14628.0,1,0.0,1136.0,5451.0,0.18218356328734256,-0.2301507537688442,33.5,4.0,4163.242562929062,2.4828209764918627,0.0,0.008890074155640817,367988.14,72564.75,11220.23,484908.72000000003
MO,797F,DESPACHO,Overhaul,2931.0,2,343.0,702.0,2345.0,-0.019326628771316055,-0.10700132100396301,27.5,3.0,3582.214459000485,3.116030534351145,0.0,0.01744171199468832,388779.3,50695.76,222.5,449449.06
MO,797B,DESPACHO,Overhaul,0.0,2,-3.0,1101.0,7981.0,0.23435042466184336,-0.12623574144486688,47.0,4.0,3969.0519793459553,3.1463414634146343,0.0,0.001912411550965768,400507.36,65587.65,2998.12,500904.52999999997
MO,797F,DESPACHO,Overhaul,0.0,2,-4.0,794.0,2276.0,0.09092395748160266,-0.19041916167664671,35.0,2.0,2457.6354810238304,2.930576070901034,0.0,0.0,217111.36,49894.05,195.9,430523.08
MO,797F,DESPACHO,Overhaul,0.0,0,0.0,796.0,3503.0,0.22724314272431437,-0.14915040906230334,27.5,3.0,2803.199262963938,3.3770114942528737,0.0,0.0014331256763475768,373950.61000000004,45341.65,567.6,436519.76
MO,797F,DESPACHO,Overhaul,15531.0,3,322.0,759.0,2614.0,-0.0773211567732115,-0.18701142513529764,27.5,1.0,3270.406243452755,3.525941719971571,0.0,0.016981485769735464,347600.99,54424.26,222.5,456106.7
MO,797F,DESPACHO,Overhaul,14128.0,3,0.0,768.0,2462.0,0.02391011235955048,-0.1855421686746988,27.5,2.0,2800.729919678715,3.046757164404223,0.0,0.00046615031554790587,346287.4,49324.5,421.0,448217.79000000004
MO,797F,DESPACHO,Overhaul,9552.0,1,0.0,852.0,5373.75,0.4606960556844548,-0.2,26.5,2.0,3296.5167439464194,3.1618497109826587,0.0,0.0072127769191138585,291265.28,46908.34,1765.28,367978.18000000005
MO,797B,TERMINADO,Overhaul,13601.0,4,0.0,1137.0,5815.0,-0.08446280991735534,-0.25504587155963304,94.0,8.0,3591.242819843342,3.3608562691131496,0.0,0.007607259130322665,415016.18000000005,84303.98999999999,8793.119999999999,527855.84
MO,797F,TERMINADO,Overhaul,14533.0,0,0.0,759.0,2708.0,0.07225481978206207,-0.30093071354705275,27.5,1.0,3673.322733132789,3.274279615795091,0.0,0.0016882558782000123,316270.67000000004,54048.53,1535.51,387673.59
MO,797B,DESPACHO,Overhaul,13839.0,2,0.0,1072.0,4435.0,0.2631543847949316,-0.25046153846153846,47.0,5.0,3254.026614620298,2.888888888888889,0.0,0.008228520200430103,388370.89,64337.31,9672.18,491393.89
